primaryKey,gridType,gameId,eventNumber,playerId,playerName,teamId,teamName,period,minutesRemaining,secondsRemaining,eventType,actionType,shotZoneBasic,shotZoneArea,shotZoneRange,shotType,shotDistance,xCoordinate,yCoordinate,shotAttemptedFlag,shotMadeFlag,gameDate,homeTeam,awayTeam,season,seasonType,dt
0021800607_596_1628400,"Shot Chart Detail",0021800607,596,1628400,"Semi Ojeleye",1610612738,"Boston Celtics",4,5,10,"Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,1,13,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_597_201936,"Shot Chart Detail",0021800607,597,201936,"Tyreke Evans",1610612754,"Indiana Pacers",4,4,56,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",26,-195,179,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_599_1627824,"Shot Chart Detail",0021800607,599,1627824,"Guerschon Yabusele",1610612738,"Boston Celtics",4,4,36,"Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",23,235,34,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_601_1627759,"Shot Chart Detail",0021800607,601,1627759,"Jaylen Brown",1610612738,"Boston Celtics",4,4,30,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",26,117,234,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_606_203926,"Shot Chart Detail",0021800607,606,203926,"Doug McDermott",1610612754,"Indiana Pacers",4,4,18,"Missed Shot","Fadeaway Jump Shot","2PT Field Goal",Mid-Range,"Left Side Center(LC)","16-24 ft.",17,-116,131,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_609_1628993,"Shot Chart Detail",0021800607,609,1628993,"Alize Johnson",1610612754,"Indiana Pacers",4,3,37,"Missed Shot","Driving Hook Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",3,31,10,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_611_203124,"Shot Chart Detail",0021800607,611,203124,"Kyle OQuinn",1610612754,"Indiana Pacers",4,3,35,"Made Shot","Tip Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,0,-6,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_612_1627824,"Shot Chart Detail",0021800607,612,1627824,"Guerschon Yabusele",1610612738,"Boston Celtics",4,3,21,"Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",4,-31,30,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_614_1629057,"Shot Chart Detail",0021800607,614,1629057,"Robert Williams III",1610612738,"Boston Celtics",4,3,19,"Made Shot","Tip Dunk Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",0,0,-6,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_615_203124,"Shot Chart Detail",0021800607,615,203124,"Kyle OQuinn",1610612754,"Indiana Pacers",4,3,5,"Made Shot","Jump Shot","3PT Field Goal","Above the Break 3",Center(C),"24+ ft.",25,53,248,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_617_1628400,"Shot Chart Detail",0021800607,617,1628400,"Semi Ojeleye",1610612738,"Boston Celtics",4,2,46,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",27,172,210,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_62_201143,"Shot Chart Detail",0021800607,62,201143,"Al Horford",1610612738,"Boston Celtics",1,5,52,"Missed Shot","Jump Shot","2PT Field Goal",Mid-Range,Center(C),"8-16 ft.",15,-12,158,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_634_202954,"Shot Chart Detail",0021800607,634,202954,"Brad Wanamaker",1610612738,"Boston Celtics",4,1,40,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",24,-144,203,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_636_1628388,"Shot Chart Detail",0021800607,636,1628388,"TJ Leaf",1610612754,"Indiana Pacers",4,1,32,"Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",27,-170,218,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_638_1629057,"Shot Chart Detail",0021800607,638,1629057,"Robert Williams III",1610612738,"Boston Celtics",4,1,24,"Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",2,0,21,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_643_1628988,"Shot Chart Detail",0021800607,643,1628988,"Aaron Holiday",1610612754,"Indiana Pacers",4,1,12,"Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)",Center(C),"Less Than 8 ft.",7,-43,59,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_647_1628993,"Shot Chart Detail",0021800607,647,1628993,"Alize Johnson",1610612754,"Indiana Pacers",4,1,4,"Missed Shot","Driving Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",3,25,28,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_64_202694,"Shot Chart Detail",0021800607,64,202694,"Marcus Morris",1610612738,"Boston Celtics",1,5,46,"Made Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.",25,-181,183,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_651_1628988,"Shot Chart Detail",0021800607,651,1628988,"Aaron Holiday",1610612754,"Indiana Pacers",4,0,59,"Missed Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.",24,236,78,1,0,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
0021800607_653_1627824,"Shot Chart Detail",0021800607,653,1627824,"Guerschon Yabusele",1610612738,"Boston Celtics",4,0,54,"Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area",Center(C),"Less Than 8 ft.",1,9,13,1,1,20190109,BOS,IND,2018-19,"Regular Season",2019-01-11T18:16:56.287
