awayTeam,gameId,homeTeam
1610612740,0021900001,1610612761
1610612747,0021900002,1610612746
1610612741,0021900003,1610612766
1610612765,0021900004,1610612754
1610612739,0021900005,1610612753
1610612750,0021900006,1610612751
1610612763,0021900007,1610612748
1610612738,0021900008,1610612755
1610612764,0021900009,1610612742
1610612752,0021900010,1610612759
1610612760,0021900011,1610612762
1610612758,0021900012,1610612756
1610612743,0021900013,1610612757
1610612737,0021900014,1610612765
1610612749,0021900015,1610612745
1610612746,0021900016,1610612744
1610612761,0021900017,1610612738
1610612750,0021900018,1610612766
1610612752,0021900019,1610612751
1610612741,0021900020,1610612763
1610612742,0021900021,1610612740
1610612764,0021900022,1610612760
1610612756,0021900023,1610612743
1610612757,0021900024,1610612758
1610612762,0021900025,1610612747
1610612748,0021900026,1610612749
1610612755,0021900027,1610612765
1610612753,0021900028,1610612737
1610612738,0021900029,1610612752
1610612754,0021900030,1610612739
1610612761,0021900031,1610612741
1610612740,0021900032,1610612745
1610612764,0021900033,1610612759
1610612758,0021900034,1610612762
1610612746,0021900035,1610612756
1610612744,0021900036,1610612760
1610612751,0021900037,1610612763
1610612757,0021900038,1610612742
1610612748,0021900039,1610612750
1610612766,0021900040,1610612747
1610612754,0021900041,1610612765
1610612741,0021900042,1610612752
1610612755,0021900043,1610612737
1610612753,0021900044,1610612761
1610612760,0021900045,1610612745
1610612739,0021900046,1610612749
1610612744,0021900047,1610612740
1610612757,0021900048,1610612759
1610612762,0021900049,1610612756
1610612743,0021900050,1610612758
1610612766,0021900051,1610612746
1610612737,0021900052,1610612748
1610612742,0021900053,1610612743
1610612763,0021900054,1610612747
1610612741,0021900055,1610612739
1610612752,0021900056,1610612753
1610612750,0021900057,1610612755
1610612749,0021900058,1610612738
1610612754,0021900059,1610612751
1610612765,0021900060,1610612761
1610612745,0021900061,1610612764
1610612757,0021900062,1610612760
1610612746,0021900063,1610612762
1610612766,0021900064,1610612758
1610612756,0021900065,1610612744
1610612748,0021900066,1610612737
1610612743,0021900067,1610612740
1610612759,0021900068,1610612746
1610612745,0021900069,1610612751
1610612739,0021900070,1610612754
1610612749,0021900071,1610612753
1610612752,0021900072,1610612738
1610612765,0021900073,1610612741
1610612747,0021900074,1610612742
1610612762,0021900075,1610612758
1610612759,0021900076,1610612744
1610612740,0021900077,1610612760
1610612751,0021900078,1610612765
1610612743,0021900079,1610612753
1610612750,0021900080,1610612764
1610612756,0021900081,1610612763
1610612761,0021900082,1610612749
1610612766,0021900083,1610612744
1610612755,0021900084,1610612757
1610612741,0021900085,1610612754
1610612745,0021900086,1610612748
1610612758,0021900087,1610612752
1610612747,0021900088,1610612759
1610612742,0021900089,1610612739
1610612762,0021900090,1610612746
1610612765,0021900091,1610612764
1610612740,0021900092,1610612751
1610612745,0021900093,1610612763
1610612749,0021900094,1610612750
1610612755,0021900095,1610612756
1610612757,0021900096,1610612744
1610612754,0021900097,1610612766
1610612738,0021900098,1610612739
1610612759,0021900099,1610612737
