gameId,homeTeam,awayTeam,homeWin,season
0021500145,1610612752,1610612740,1,2015-16
0021500146,1610612750,1610612763,0,2015-16
0021500147,1610612766,1610612757,1,2015-16
0021500148,1610612737,1610612762,0,2015-16
0021500149,1610612760,1610612738,0,2015-16
0021500150,1610612758,1610612761,1,2015-16
0021500151,1610612747,1610612765,1,2015-16
0021500152,1610612755,1610612742,0,2015-16
0021500153,1610612741,1610612754,1,2015-16
0021500154,1610612745,1610612738,0,2015-16
0021500155,1610612763,1610612760,1,2015-16
0021500156,1610612759,1610612757,1,2015-16
0021500157,1610612756,1610612747,1,2015-16
0021500158,1610612764,1610612749,1,2015-16
0021500159,1610612751,1610612737,1,2015-16
0021500160,1610612765,1610612739,1,2015-16
0021500161,1610612748,1610612750,0,2015-16
0021500162,1610612752,1610612766,1,2015-16
0021500163,1610612740,1610612743,0,2015-16
0021500164,1610612744,1610612761,1,2015-16
0021500165,1610612766,1610612751,1,2015-16
0021500166,1610612753,1610612750,1,2015-16
0021500167,1610612755,1610612754,0,2015-16
0021500168,1610612738,1610612742,0,2015-16
0021500169,1610612737,1610612758,1,2015-16
0021500170,1610612745,1610612757,1,2015-16
0021500171,1610612760,1610612740,1,2015-16
0021500172,1610612759,1610612743,1,2015-16
0021500173,1610612762,1610612761,1,2015-16
0021500174,1610612756,1610612741,0,2015-16
0021500175,1610612748,1610612758,1,2015-16
0021500176,1610612739,1610612749,1,2015-16
0021500177,1610612746,1610612744,0,2015-16
0021500178,1610612766,1610612755,1,2015-16
0021500179,1610612738,1610612751,1,2015-16
0021500180,1610612763,1610612745,1,2015-16
0021500181,1610612750,1610612765,0,2015-16
0021500182,1610612740,1610612759,1,2015-16
0021500183,1610612760,1610612752,0,2015-16
0021500184,1610612742,1610612762,1,2015-16
0021500185,1610612743,1610612756,0,2015-16
0021500186,1610612757,1610612746,1,2015-16
0021500187,1610612744,1610612741,1,2015-16
0021500188,1610612747,1610612761,0,2015-16
0021500189,1610612753,1610612758,0,2015-16
0021500190,1610612754,1610612749,1,2015-16
0021500191,1610612739,1610612737,1,2015-16
0021500192,1610612765,1610612764,0,2015-16
0021500193,1610612748,1610612755,1,2015-16
0021500194,1610612745,1610612752,0,2015-16
0021500195,1610612759,1610612763,1,2015-16
0021500196,1610612746,1610612761,0,2015-16
0021500197,1610612751,1610612738,1,2015-16
0021500198,1610612740,1610612756,1,2015-16
0021500199,1610612760,1610612742,1,2015-16
0021500200,1610612743,1610612744,0,2015-16
0021500201,1610612747,1610612757,0,2015-16
0021500202,1610612766,1610612758,1,2015-16
0021500203,1610612739,1610612753,1,2015-16
0021500204,1610612748,1610612752,1,2015-16
0021500205,1610612749,1610612765,1,2015-16
0021500206,1610612750,1610612755,1,2015-16
0021500207,1610612759,1610612756,1,2015-16
0021500208,1610612762,1610612760,0,2015-16
0021500209,1610612764,1610612754,0,2015-16
0021500210,1610612737,1610612738,1,2015-16
0021500211,1610612763,1610612742,1,2015-16
0021500212,1610612743,1610612746,0,2015-16
0021500213,1610612757,1610612741,0,2015-16
0021500214,1610612744,1610612747,1,2015-16
0021500215,1610612766,1610612764,1,2015-16
0021500216,1610612753,1610612752,1,2015-16
0021500217,1610612738,1610612755,1,2015-16
0021500218,1610612765,1610612748,1,2015-16
0021500219,1610612761,1610612739,1,2015-16
0021500220,1610612745,1610612763,0,2015-16
0021500221,1610612749,1610612758,0,2015-16
0021500222,1610612750,1610612737,1,2015-16
0021500223,1610612760,1610612751,1,2015-16
0021500224,1610612759,1610612742,1,2015-16
0021500225,1610612756,1610612740,0,2015-16
0021500226,1610612746,1610612762,0,2015-16
0021500227,1610612766,1610612739,0,2015-16
0021500228,1610612753,1610612749,1,2015-16
0021500229,1610612738,1610612764,1,2015-16
0021500230,1610612752,1610612748,0,2015-16
0021500231,1610612754,1610612741,1,2015-16
