GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
0041700404,31,4,0,1,9:15 PM,9:36,,,Thompson REBOUND (Off:0 Def:2),,,5,202691,Klay Thompson,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041700404,32,1,6,1,9:16 PM,9:24,,,Curry 2' Driving Layup (6 PTS),10 - 3,-7,5,201939,Stephen Curry,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041700404,33,9,1,1,9:16 PM,9:23,CAVALIERS Timeout: Regular (Full 1 Short 0),,,,,2,1610612739,,,,,,0,0,,,,,,0,0,,,,,
0041700404,34,6,1,1,9:20 PM,9:10,,,Thompson P.FOUL (P1.T2) (J.Phillips),,,5,202691,Klay Thompson,1610612744.0,Golden State,Warriors,GSW,4,2544,LeBron James,1610612739.0,Cleveland,Cavaliers,CLE,1,0,,,,,
0041700404,36,2,5,1,9:20 PM,8:57,MISS Thompson 3' Layup,,Durant BLOCK (2 BLK),,,4,202684,Tristan Thompson,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,5,201142,Kevin Durant,1610612744.0,Golden State,Warriors,GSW
0041700404,38,4,0,1,9:20 PM,8:54,,,Thompson REBOUND (Off:0 Def:3),,,5,202691,Klay Thompson,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041700404,39,1,1,1,9:20 PM,8:47,,,Curry 32' 3PT Jump Shot (9 PTS),13 - 3,-10,5,201939,Stephen Curry,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041700404,40,2,6,1,9:20 PM,8:32,MISS James 1' Driving Layup,,,,,4,2544,LeBron James,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,41,4,0,1,9:20 PM,8:28,G. Hill REBOUND (Off:1 Def:0),,,,,4,201588,George Hill,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,42,2,97,1,9:20 PM,8:28,MISS G. Hill 1' Tip Layup Shot,,,,,4,201588,George Hill,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,43,4,0,1,9:20 PM,8:28,Thompson REBOUND (Off:1 Def:0),,,,,4,202684,Tristan Thompson,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,44,1,97,1,9:20 PM,8:24,Thompson 1' Tip Layup Shot (2 PTS),,,13 - 5,-8,4,202684,Tristan Thompson,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,45,2,1,1,9:21 PM,8:08,,,MISS Curry 30' 3PT Jump Shot,,,5,201939,Stephen Curry,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041700404,46,4,0,1,9:21 PM,8:05,Love REBOUND (Off:0 Def:2),,,,,4,201567,Kevin Love,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,47,6,1,1,9:21 PM,8:02,,,Green P.FOUL (P1.T3) (S.Foster),,,5,203110,Draymond Green,1610612744.0,Golden State,Warriors,GSW,4,201567,Kevin Love,1610612739.0,Cleveland,Cavaliers,CLE,1,0,,,,,
0041700404,49,2,47,1,9:21 PM,7:48,MISS Smith 6' Turnaround Jump Shot,,,,,4,2747,JR Smith,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,50,4,0,1,9:21 PM,7:48,,,Warriors Rebound,,,3,1610612744,,,,,,0,0,,,,,,0,0,,,,,
0041700404,51,6,4,1,9:22 PM,7:34,,,Thompson OFF.Foul (P2) (J.Capers),,,5,202691,Klay Thompson,1610612744.0,Golden State,Warriors,GSW,4,2747,JR Smith,1610612739.0,Cleveland,Cavaliers,CLE,1,0,,,,,
0041700404,53,5,37,1,9:22 PM,7:34,,,Thompson Offensive Foul Turnover (P1.T1),,,5,202691,Klay Thompson,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,1,0,,,,,
0041700404,54,8,0,1,9:22 PM,7:34,,,SUB: Iguodala FOR Thompson,,,5,202691,Klay Thompson,1610612744.0,Golden State,Warriors,GSW,5,2738,Andre Iguodala,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,
0041700404,56,6,17,1,9:23 PM,7:22,,,Warriors T.Foul (Def. 3 Sec McGee ) (J.Capers),,,5,201580,JaVale McGee,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,1,0,,,,,
0041700404,57,3,16,1,9:23 PM,7:22,Love Free Throw Technical (1 PTS),,,13 - 6,-7,4,201567,Kevin Love,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,58,1,63,1,9:23 PM,7:07,James 13' Fadeaway Jumper (2 PTS),,,13 - 8,-5,4,2544,LeBron James,1610612739.0,Cleveland,Cavaliers,CLE,0,0,,,,,,0,0,,,,,
0041700404,59,2,1,1,9:24 PM,6:46,,,MISS Iguodala 24' 3PT Jump Shot,,,5,2738,Andre Iguodala,1610612744.0,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
