EVENTMSGTYPE,EVENTMSGACTIONTYPE,DESCRIPTION
3,25,  VanVleet Free Throw Clear Path 1 of 2 (7 PTS)
3,26,  VanVleet Free Throw Clear Path 2 of 2 (6 PTS)
3,27,Fournier Free Throw Flagrant 1 of 3 (6 PTS)  
4,0,Crowder REBOUND (Off:1 Def:1)  
4,1,  Celtics Rebound
5,0,  Holiday No Turnover (P3.T9)
5,1,Love Bad Pass Turnover (P1.T5)  Irving STEAL (2 STL)
5,2,Shumpert STEAL (1 STL)  Baynes Lost Ball Turnover (P1.T3)
5,4,Wade Traveling Turnover (P1.T2)  
5,6,Irving Double Dribble Turnover (P2.T3)  
5,7,  Waiters Discontinue Dribble Turnover (P3.T11)
5,8,  Tucker 3 Second Violation Turnover (P3.T12)
5,9,  Raptors Turnover: 5 Second Violation (T#2)
5,10,HORNETS Turnover: 8 Second Violation (T#12)  
5,11,  Celtics Turnover: Shot Clock (T#4)
5,12,Galloway Inbound Turnover (P1.T6)  
5,13,  Lamb Backcourt Turnover (P2.T17)
5,15,Gobert Offensive Goaltending Turnover (P1.T4)  
5,17,  Felicio Lane Violation Turnover (P3.T14)
5,18,  Drummond Jump Ball Violation Turnover (P2.T4)
5,19,Patterson Kicked Ball Violation Turnover (P1.T7)  
5,20,  Bradley Illegal Assist Turnover (P2.T7)
5,21,  Brown Palming Turnover (P1.T1)
5,33,Pachulia Punched Ball Turnover (P1.T2)  
5,35,Gordon Basket from Below Turnover (P1.T9)  
5,36,Bayless Illegal Screen Turnover (P1.T6)  
5,37,Green Offensive Foul Turnover (P1.T3)  
5,39,  Brown Step Out of Bounds Turnover (P2.T2)
5,40,James Out of Bounds Lost Ball Turnover (P1.T4)  
5,44,SPURS Turnover: Too Many Players (T#2)  
5,45,  Smart Out of Bounds - Bad Pass Turnover Turnover (P2.T9)
6,0,  Holiday NO.FOUL (P1.PN) (.)
6,1,  Irving P.FOUL (P1.T4) (B.Forte)
6,2,  Baynes S.FOUL (P1.T3) (M.Smith)
6,3,  Tatum L.B.FOUL (P2.T3) (M.McCutchen)
6,4,  Baynes OFF.Foul (P4) (B.Forte)
6,5,Shumpert IN.FOUL (P3.PN) (M.Smith)  
6,6,  Speights AWAY.FROM.PLAY.FOUL (P1.T3) (K.Cutler)
6,9,  Griffin C.P.FOUL (P1.T4) (J.Orr)
6,10,  
6,11,  Irving T.FOUL (P2.T1) (M.Smith)
6,12,  Grant Non-Unsportsmanlike (P0.T1) (D.Stafford)
6,13,Valanciunas HANGING.TECH.FOUL (P0.T2) (C.Kirkland)  
6,14,  Tucker FLAGRANT.FOUL.TYPE1 (P1.T4) (T.Maddox)
6,15,  Anthony FLAGRANT.FOUL.TYPE2 (P4.PN) (R.Mott)
6,16,  
6,17,CAVALIERS T.Foul (Def. 3 Sec Love ) (M.McCutchen)  
6,18,  
6,19,  Harris Taunting (P1.T3) (L.Wood)
6,26,Green Offensive Charge Foul (P1.T4) (M.McCutchen)  
6,27,Stephenson Personal Block Foul (P1.T1) (D.Collins)  
6,28,  LeVert Personal Take Foul (P3.PN) (D.Collins)
6,29,Oladipo Shooting Block Foul (P2.T3) (T.Brothers)  
6,30,  
7,1,  
7,2,  Capela Violation:Defensive Goaltending (R.Garretson)
7,3,  Walker Violation:Lane (.)
7,4,  Ulis Violation:Jump Ball (K.Scott)
7,5,  Baynes Violation:Kicked Ball (B.Forte)
7,6,Maker Violation:Double Lane (.)  
8,0,SUB: Shumpert FOR Rose  
9,1,  Celtics Timeout: Regular (Reg.1 Short 0)
10,0,Jump Ball Love vs. Horford: Tip to Irving  
11,4,  Curry Ejection:Other
12,0,  
13,0,  
14,0,  
14,1,  
14,2,  
