GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0011300115,325,5,1,3,10:06 PM,7:14,Marion Bad Pass Turnover (P4.T16),,,,,4,1890,Shawn Marion,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1,0,,,,,,0
0011300115,326,6,1,3,10:06 PM,7:07,Nowitzki P.FOUL (P1.T3),,,,,4,1717,Dirk Nowitzki,1610612742.0,Dallas,Mavericks,DAL,5,2561,David West,1610612754.0,Indiana,Pacers,IND,1,0,,,,,,0
0011300115,327,1,1,3,10:06 PM,6:52,,,Stephenson 25' 3PT Jump Shot (3 PTS) (West 2 AST),52 - 51,-1,5,202362,Lance Stephenson,1610612754.0,Indiana,Pacers,IND,5,2561,David West,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
0011300115,328,6,1,3,10:07 PM,6:39,,,West P.FOUL (P2.T3),,,5,2561,David West,1610612754.0,Indiana,Pacers,IND,4,1717,Dirk Nowitzki,1610612742.0,Dallas,Mavericks,DAL,1,0,,,,,,0
0011300115,329,6,1,3,10:07 PM,6:34,,,G. Hill P.FOUL (P1.T4),,,5,201588,George Hill,1610612754.0,Indiana,Pacers,IND,4,1717,Dirk Nowitzki,1610612742.0,Dallas,Mavericks,DAL,1,0,,,,,,0
0011300115,330,2,73,3,10:07 PM,6:24,MISS Ellis 3' Driving Reverse Layup,,,,,4,101145,Monta Ellis,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,0
0011300115,331,4,0,3,10:07 PM,6:23,,,G. Hill REBOUND (Off:0 Def:1),,,5,201588,George Hill,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,332,1,42,3,10:08 PM,6:17,,,G. Hill 1' Driving Layup (9 PTS),54 - 51,-3,5,201588,George Hill,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,,0
0011300115,333,5,1,3,10:08 PM,6:04,Calderon Bad Pass Turnover (P3.T17),,G. Hill STEAL (1 STL),,,4,101181,Jose Calderon,1610612742.0,Dallas,Mavericks,DAL,5,201588,George Hill,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
0011300115,334,1,8,3,10:08 PM,5:50,,,George 1' Slam Dunk (16 PTS) (G. Hill 2 AST),56 - 51,-5,5,202331,Paul George,1610612754.0,Indiana,Pacers,IND,5,201588,George Hill,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0
0011300115,335,9,2,3,10:08 PM,5:48,MAVERICKS Timeout: Short (Full 3 Short 2),,,,,2,1610612742,,,,,,0,0,,,,,,0,0,,,,,,0
0011300115,336,8,0,3,10:09 PM,5:48,SUB: Carter FOR Nowitzki,,,,,4,1717,Dirk Nowitzki,1610612742.0,Dallas,Mavericks,DAL,4,1713,Vince Carter,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
0011300115,338,1,46,3,10:09 PM,5:28,Blair 12' Running Jump Shot (5 PTS) (Ellis 4 AST),,,56 - 53,-3,4,201971,DeJuan Blair,1610612742.0,Dallas,Mavericks,DAL,4,101145,Monta Ellis,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0
