game_id,period,possession_end,possession_start,possession_team,team1_id,team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_points,team2_id,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_points
41700404,1,679,677,1610612744,1610612744,1628395,201142,201156,2733,2738,0,1610612739,201145,201567,203918,2544,2594,0
41700404,1,712,692,1610612739,1610612744,1628395,201156,201939,2733,2738,0,1610612739,1626204,201145,201567,203918,2594,0
41700404,1,720,720,1610612739,1610612744,1628395,201156,201939,2733,2738,0,1610612739,1626204,201145,201567,203918,2594,0
41700404,2,744,720,1610612739,1610612744,2561,2733,201939,202691,203110,0,1610612739,2544,2594,201145,203918,1626204,3
41700404,2,762,760,1610612744,1610612744,2561,2733,201939,202691,203110,0,1610612739,2544,2594,201145,203918,1626204,0
41700404,2,774,770,1610612739,1610612744,2561,2733,201939,202691,203110,0,1610612739,2544,2594,201145,203918,1626204,2
41700404,2,786,786,1610612744,1610612744,2561,2733,201939,202691,203110,0,1610612739,2544,2594,201145,203918,1626204,0
41700404,2,802,786,1610612739,1610612744,2561,2733,201939,202691,203110,0,1610612739,2544,2594,201145,203918,1626204,0
41700404,2,814,814,1610612744,1610612744,2561,2733,201939,202691,203110,2,1610612739,2544,2594,201145,203918,1626204,0
41700404,2,833,829,1610612739,1610612744,2561,2733,201939,202691,203110,0,1610612739,2544,2594,201145,203918,1626204,0
41700404,2,836,836,1610612744,1610612744,2561,2733,201939,202691,203110,0,1610612739,2544,2594,201145,203918,1626204,0
41700404,2,861,849,1610612739,1610612744,2561,2733,201939,202691,203110,0,1610612739,2544,2594,201145,203918,1626204,3
41700404,2,873,873,1610612744,1610612744,2561,2733,201939,202691,203110,2,1610612739,2544,2594,201145,203918,1626204,0
41700404,2,887,887,1610612739,1610612744,2561,2733,201939,202691,203110,0,1610612739,2544,2594,201145,203918,1626204,0
41700404,2,907,903,1610612744,1610612744,2561,2733,201939,202691,203110,0,1610612739,2544,2594,201145,203918,1626204,0
41700404,2,910,910,1610612739,1610612744,2561,2733,201939,202691,203110,0,1610612739,2544,2594,201145,203918,1626204,2
41700404,2,922,921,1610612744,1610612744,2561,2733,201939,202691,203110,0,1610612739,2544,2594,201145,203918,1626204,0
41700404,2,944,941,1610612739,1610612744,2561,2733,201939,202691,203110,0,1610612739,1626204,201145,2544,2594,2747,0
