index,Unnamed: 0,primaryKey,season,seasonType,gameId,gameDate,period,secondsElapsed,team1Score,team2Score,offenseTeamId1,offensePlayer1Id,offensePlayer2Id,offensePlayer3Id,offensePlayer4Id,offensePlayer5Id,defenseTeamId2,defensePlayer1Id,defensePlayer2Id,defensePlayer3Id,defensePlayer4Id,defensePlayer5Id,points,expectedPoints,defensiveRebounds,offensiveRebounds,opponentDefensiveRebounds,opponentOffensiveRebounds,offensiveFouls,defensiveFouls,turnovers,fieldGoalAttempts,fieldGoals,threePtAttempts,threePtMade,freeThrowAttempts,freeThrowsMade,possessions,seconds,dt,adjustedPoints
26663,26663,729_0022100026_1610612762,2021-22,Regular Season,22100026,1634875200000,4,2862,,,1610612762,201144,202711,203497,1626220,1628378,1610612758,203084,1627741,1628368,1630169,1630558,2.0,1.642,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2021-10-29T13:59:40.216,2.0
26665,26665,729_0022100031_1610612750,2021-22,Regular Season,22100031,1634961600000,4,2866,,,1610612750,1626156,1629162,1629675,1630162,1630183,1610612740,1627742,1628984,1629638,1630529,1630530,2.0,1.4240000000000002,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2021-10-29T13:59:40.216,2.0
26667,26667,729_0022100041_1610612766,2021-22,Regular Season,22100041,1635134400000,5,2903,,,1610612766,202330,203486,1626162,1628970,1630163,1610612738,203471,203935,1627759,1628369,1629057,0.0,0.8387126527879314,0,0,1,0,0,0,0,1,0,1,0,0,0,1,12,2021-10-29T13:59:40.216,0.0
26669,26669,72_0022100006_1610612764,2021-22,Regular Season,22100006,1634702400000,1,395,,,1610612764,203078,203915,1628398,1629655,1630166,1610612761,203920,1627832,1628384,1629018,1630567,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13,2021-10-29T13:59:40.216,0.0
26670,26670,72_0022100008_1610612745,2021-22,Regular Season,22100008,1634702400000,1,282,9.0,9.0,1610612745,201569,1628464,1629645,1630224,1630256,1610612750,1626156,1626157,1629006,1630162,1630183,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,2021-10-29T13:59:40.216,2.0
26673,26673,72_0022100009_1610612755,2021-22,Regular Season,22100009,1634702400000,1,435,14.0,23.0,1610612755,201980,202699,203552,203954,1630178,1610612740,202685,1627742,1628404,1628984,1629638,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,8,2021-10-29T13:59:40.216,2.0
26675,26675,72_0022100016_1610612746,2021-22,Regular Season,22100016,1634788800000,1,303,16.0,15.0,1610612746,202331,202694,202704,1627826,1628379,1610612744,201939,203110,203952,1626172,1629673,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,2021-10-29T13:59:40.216,2.0
26676,26676,72_0022100024_1610612743,2021-22,Regular Season,22100024,1634875200000,1,373,,,1610612743,203115,203932,203999,1628420,1629008,1610612759,203926,1627749,1628401,1629234,1629640,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,20,2021-10-29T13:59:40.216,0.0
26678,26678,72_0022100028_1610612748,2021-22,Regular Season,22100028,1634961600000,1,426,,,1610612748,200782,202710,1628389,1629130,1629216,1610612754,203200,1626167,1627763,1628470,1630537,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,2021-10-29T13:59:40.216,0.0
26680,26680,72_0022100032_1610612749,2021-22,Regular Season,22100032,1634961600000,1,366,20.0,19.0,1610612749,201950,203114,203648,1626192,1628960,1610612759,203926,1627749,1628401,1629022,1629234,2.0,2.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,13,2021-10-29T13:59:40.216,2.0
