,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,AdjustedPossessions
0,101107,Marvin Williams,-0.23,303.0,-0.9,435.0,0.67,65.0,2
1,101108,Chris Paul,0.77,80.0,-0.28,347.0,1.05,24.0,2
2,101133,Ian Mahinmi,0.43,126.0,0.24,143.0,0.19,161.0,2
3,101139,CJ Miles,-0.1,262.0,-0.43,373.0,0.33,125.0,2
4,101141,Ersan Ilyasova,0.85,72.0,0.4,108.0,0.45,93.0,2
5,101150,Lou Williams,0.69,89.0,0.12,194.0,0.58,74.0,2
6,1626143,Jahlil Okafor,-0.68,383.0,-0.6,403.0,-0.07,262.0,2
7,1626144,Emmanuel Mudiay,-0.47,349.0,0.14,184.0,-0.61,398.0,2
8,1626145,Tyus Jones,-0.84,404.0,-0.91,436.0,0.06,206.0,2
9,1626149,Montrezl Harrell,2.43,7.0,0.99,24.0,1.44,12.0,2
10,1626153,Delon Wright,0.71,85.0,0.25,141.0,0.46,92.0,2
11,1626156,DAngelo Russell,-0.93,413.0,-0.59,398.0,-0.34,348.0,2
12,1626157,Karl-Anthony Towns,0.11,177.0,-1.48,467.0,1.59,5.0,2
13,1626158,Richaun Holmes,1.11,48.0,0.18,163.0,0.93,33.0,2
14,1626159,Justise Winslow,0.71,86.0,0.99,25.0,-0.28,333.0,2
15,1626161,Willie Cauley-Stein,-0.48,352.0,0.3,125.0,-0.78,422.0,2
16,1626162,Kelly Oubre Jr.,-0.49,353.0,-0.48,380.0,-0.01,238.0,2
17,1626163,Frank Kaminsky,-0.71,388.0,-0.24,335.0,-0.48,371.0,2
18,1626164,Devin Booker,0.31,148.0,-1.22,458.0,1.53,9.0,2
19,1626167,Myles Turner,0.33,139.0,0.23,145.0,0.1,190.0,2
20,1626168,Trey Lyles,-0.27,312.0,-0.41,371.0,0.13,175.0,2
21,1626169,Stanley Johnson,-0.08,251.0,0.13,188.0,-0.21,315.0,2
22,1626171,Bobby Portis,-1.13,428.0,-0.55,390.0,-0.58,395.0,2
23,1626172,Kevon Looney,-0.98,415.0,-0.08,283.0,-0.9,441.0,2
24,1626174,Christian Wood,1.46,30.0,0.45,99.0,1.01,28.0,2
25,1626178,Rondae Hollis-Jefferson,0.35,137.0,0.26,139.0,0.09,193.0,2
26,1626179,Terry Rozier,-1.85,467.0,-0.86,432.0,-0.99,449.0,2
27,1626181,Norman Powell,0.19,163.0,0.56,78.0,-0.37,356.0,2
28,1626188,Quinn Cook,0.7,87.0,0.23,147.0,0.47,90.0,2
29,1626192,Pat Connaughton,0.55,106.0,-0.15,307.0,0.7,61.0,2
30,1626195,Willy Hernangomez,-0.55,363.0,-0.22,329.0,-0.32,345.0,2
31,1626196,Josh Richardson,0.87,67.0,0.68,61.0,0.19,162.0,2
32,1626203,Treveon Graham,-1.32,441.0,-0.1,294.0,-1.22,460.0,2
