,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,AdjustedPossessions
0,101107,Marvin Williams,-0.61,374.0,-1.1,459.0,0.49,94.0,6
1,101108,Chris Paul,0.96,59.0,0.27,144.0,0.69,62.0,6
2,101133,Ian Mahinmi,0.12,190.0,0.18,169.0,-0.06,265.0,6
3,101139,CJ Miles,0.08,201.0,-0.31,344.0,0.39,113.0,6
4,101141,Ersan Ilyasova,0.38,132.0,-0.13,300.0,0.51,92.0,6
5,101150,Lou Williams,0.34,142.0,-0.1,291.0,0.44,101.0,6
6,1626143,Jahlil Okafor,-1.12,430.0,-0.73,418.0,-0.38,354.0,6
7,1626144,Emmanuel Mudiay,0.01,223.0,0.44,108.0,-0.43,367.0,6
8,1626145,Tyus Jones,-0.35,334.0,-0.71,416.0,0.36,120.0,6
9,1626149,Montrezl Harrell,1.25,37.0,0.52,83.0,0.73,54.0,6
10,1626153,Delon Wright,1.03,49.0,0.24,151.0,0.79,46.0,6
11,1626156,DAngelo Russell,-1.12,431.0,-0.86,438.0,-0.26,329.0,6
12,1626157,Karl-Anthony Towns,0.58,103.0,-0.92,442.0,1.51,6.0,6
13,1626158,Richaun Holmes,1.23,40.0,0.38,119.0,0.84,39.0,6
14,1626159,Justise Winslow,0.91,62.0,0.94,27.0,-0.04,254.0,6
15,1626161,Willie Cauley-Stein,-0.26,314.0,0.43,111.0,-0.69,410.0,6
16,1626162,Kelly Oubre Jr.,-0.64,380.0,-0.64,410.0,-0.01,234.0,6
17,1626163,Frank Kaminsky,-0.78,394.0,-0.11,295.0,-0.67,408.0,6
18,1626164,Devin Booker,-0.0,229.0,-0.94,443.0,0.94,31.0,6
19,1626167,Myles Turner,-0.05,255.0,-0.11,297.0,0.06,199.0,6
20,1626168,Trey Lyles,-0.24,311.0,-0.54,394.0,0.31,132.0,6
21,1626169,Stanley Johnson,-0.07,260.0,0.16,182.0,-0.22,316.0,6
22,1626171,Bobby Portis,-1.42,451.0,-0.99,450.0,-0.43,366.0,6
23,1626172,Kevon Looney,-0.4,336.0,0.13,191.0,-0.53,391.0,6
24,1626174,Christian Wood,2.38,6.0,1.04,21.0,1.34,11.0,6
25,1626178,Rondae Hollis-Jefferson,0.4,128.0,0.02,233.0,0.38,116.0,6
26,1626179,Terry Rozier,-2.03,467.0,-0.55,396.0,-1.48,467.0,6
27,1626181,Norman Powell,-0.05,254.0,0.55,80.0,-0.6,399.0,6
28,1626188,Quinn Cook,0.6,98.0,0.28,140.0,0.32,126.0,6
