,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,AdjustedPossessions
0,101107,Marvin Williams,-0.38,336.0,-1.0,445.0,0.62,68.0,1
1,101108,Chris Paul,0.95,60.0,-0.03,265.0,0.99,31.0,1
2,101133,Ian Mahinmi,-0.02,233.0,-0.15,311.0,0.13,178.0,1
3,101139,CJ Miles,0.03,200.0,-0.34,351.0,0.37,116.0,1
4,101141,Ersan Ilyasova,0.83,73.0,0.23,152.0,0.6,72.0,1
5,101150,Lou Williams,0.59,102.0,0.11,198.0,0.48,89.0,1
6,1626143,Jahlil Okafor,-0.81,399.0,-0.65,410.0,-0.16,290.0,1
7,1626144,Emmanuel Mudiay,-0.42,343.0,0.22,153.0,-0.64,405.0,1
8,1626145,Tyus Jones,-0.89,403.0,-0.92,438.0,0.03,210.0,1
9,1626149,Montrezl Harrell,2.29,7.0,1.02,24.0,1.27,14.0,1
10,1626153,Delon Wright,0.65,94.0,0.31,128.0,0.34,123.0,1
11,1626156,DAngelo Russell,-1.17,430.0,-0.81,428.0,-0.36,354.0,1
12,1626157,Karl-Anthony Towns,0.6,101.0,-1.3,462.0,1.89,4.0,1
13,1626158,Richaun Holmes,1.2,39.0,0.39,109.0,0.81,46.0,1
14,1626159,Justise Winslow,0.71,87.0,0.93,29.0,-0.22,314.0,1
15,1626161,Willie Cauley-Stein,-0.35,332.0,0.33,118.0,-0.68,410.0,1
16,1626162,Kelly Oubre Jr.,-0.29,318.0,-0.66,411.0,0.37,117.0,1
17,1626163,Frank Kaminsky,-0.47,350.0,-0.3,344.0,-0.17,296.0,1
18,1626164,Devin Booker,0.03,202.0,-1.52,470.0,1.55,8.0,1
19,1626167,Myles Turner,-0.13,280.0,-0.04,266.0,-0.09,269.0,1
20,1626168,Trey Lyles,-0.1,267.0,-0.54,393.0,0.45,94.0,1
21,1626169,Stanley Johnson,-0.09,266.0,0.11,199.0,-0.2,309.0,1
22,1626171,Bobby Portis,-1.56,457.0,-1.0,444.0,-0.57,395.0,1
23,1626172,Kevon Looney,-0.93,412.0,-0.09,292.0,-0.84,427.0,1
24,1626174,Christian Wood,1.55,25.0,0.69,60.0,0.86,41.0,1
