,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,AdjustedPossessions
0,101107,Marvin Williams,0.26,154.0,-0.55,396.0,0.8,42.0,9
1,101108,Chris Paul,1.87,9.0,0.84,35.0,1.04,25.0,9
2,101133,Ian Mahinmi,0.77,72.0,0.32,126.0,0.45,92.0,9
3,101139,CJ Miles,0.1,195.0,-0.36,360.0,0.46,88.0,9
4,101141,Ersan Ilyasova,0.54,106.0,0.19,159.0,0.35,112.0,9
5,101150,Lou Williams,-0.0,221.0,-0.27,338.0,0.26,134.0,9
6,1626143,Jahlil Okafor,-0.98,418.0,-0.67,417.0,-0.3,337.0,9
7,1626144,Emmanuel Mudiay,-0.45,356.0,-0.03,255.0,-0.42,368.0,9
8,1626145,Tyus Jones,-0.56,367.0,-0.86,439.0,0.3,121.0,9
9,1626149,Montrezl Harrell,1.39,32.0,0.81,38.0,0.57,73.0,9
10,1626153,Delon Wright,-0.13,272.0,-0.32,351.0,0.2,159.0,9
11,1626156,DAngelo Russell,-0.77,397.0,-0.82,437.0,0.05,211.0,9
12,1626157,Karl-Anthony Towns,0.69,87.0,-0.92,445.0,1.61,8.0,9
13,1626158,Richaun Holmes,0.55,105.0,0.02,216.0,0.53,77.0,9
14,1626159,Justise Winslow,0.65,97.0,1.1,16.0,-0.45,373.0,9
15,1626161,Willie Cauley-Stein,-0.35,336.0,0.38,112.0,-0.72,425.0,9
16,1626162,Kelly Oubre Jr.,-0.3,325.0,-0.59,405.0,0.29,125.0,9
17,1626163,Frank Kaminsky,0.13,187.0,-0.11,296.0,0.24,143.0,9
18,1626164,Devin Booker,0.45,121.0,-1.09,459.0,1.54,10.0,9
19,1626167,Myles Turner,-0.01,222.0,0.07,194.0,-0.08,264.0,9
20,1626168,Trey Lyles,-0.4,348.0,-0.5,389.0,0.1,191.0,9
21,1626169,Stanley Johnson,-0.08,253.0,0.14,174.0,-0.23,321.0,9
22,1626171,Bobby Portis,-1.64,462.0,-0.96,449.0,-0.68,421.0,9
23,1626172,Kevon Looney,-0.8,402.0,-0.08,286.0,-0.72,424.0,9
24,1626174,Christian Wood,2.03,8.0,0.97,25.0,1.06,23.0,9
25,1626178,Rondae Hollis-Jefferson,-0.39,344.0,-0.24,331.0,-0.16,296.0,9
26,1626179,Terry Rozier,-2.6,472.0,-1.33,467.0,-1.27,464.0,9
27,1626181,Norman Powell,-0.81,404.0,0.07,192.0,-0.88,445.0,9
28,1626188,Quinn Cook,0.44,124.0,-0.11,295.0,0.55,76.0,9
29,1626192,Pat Connaughton,-0.19,298.0,-0.65,414.0,0.46,89.0,9
30,1626195,Willy Hernangomez,-0.73,392.0,-0.43,376.0,-0.3,338.0,9
31,1626196,Josh Richardson,0.93,56.0,0.83,36.0,0.1,192.0,9
32,1626203,Treveon Graham,-0.6,375.0,0.17,166.0,-0.77,432.0,9
33,1626204,Larry Nance Jr.,-0.13,274.0,-0.36,357.0,0.22,148.0,9
34,1626209,Mario Hezonja,-0.67,384.0,-0.06,270.0,-0.61,408.0,9
35,1626220,Royce ONeale,0.97,52.0,0.4,103.0,0.57,74.0,9
36,1626224,Cedi Osman,-0.03,227.0,-0.1,290.0,0.06,205.0,9
37,1626246,Boban Marjanovic,0.71,83.0,-0.05,268.0,0.76,49.0,9
38,1626259,Malcolm Miller,0.58,103.0,0.16,170.0,0.42,99.0,9
39,1627732,Ben Simmons,0.73,78.0,0.5,85.0,0.23,146.0,9
40,1627733,Dragan Bender,0.28,152.0,-0.02,246.0,0.3,122.0,9
41,1627734,Domantas Sabonis,1.44,26.0,1.12,15.0,0.32,117.0,9
42,1627736,Malik Beasley,-0.4,349.0,-0.22,325.0,-0.18,301.0,9
43,1627737,Marquese Chriss,-1.15,434.0,-1.08,458.0,-0.06,258.0,9
44,1627739,Kris Dunn,1.14,41.0,2.11,1.0,-0.97,451.0,9
45,1627740,Henry Ellenson,0.26,155.0,0.29,134.0,-0.03,246.0,9
46,1627741,Buddy Hield,-0.07,247.0,-0.31,350.0,0.24,142.0,9
47,1627742,Brandon Ingram,0.12,188.0,-0.41,372.0,0.53,79.0,9
48,1627745,Damian Jones,-1.04,423.0,-1.18,462.0,0.14,176.0,9
49,1627746,Skal Labissiere,-0.1,256.0,-0.37,362.0,0.26,133.0,9
50,1627747,Caris LeVert,0.02,214.0,-0.03,254.0,0.05,213.0,9
51,1627748,Thon Maker,-1.18,435.0,-0.7,421.0,-0.47,380.0,9
52,1627749,Dejounte Murray,-0.84,407.0,-0.49,388.0,-0.34,350.0,9
53,1627750,Jamal Murray,0.72,80.0,-0.05,269.0,0.78,47.0,9
54,1627751,Jakob Poeltl,1.83,11.0,0.34,121.0,1.5,12.0,9
55,1627752,Taurean Prince,1.19,39.0,0.39,106.0,0.8,43.0,9
56,1627756,Denzel Valentine,-0.25,316.0,0.51,84.0,-0.76,431.0,9
57,1627759,Jaylen Brown,-0.43,354.0,-0.56,399.0,0.13,179.0,9
58,1627761,DeAndre Bembry,-1.69,466.0,-0.25,335.0,-1.44,468.0,9
59,1627763,Malcolm Brogdon,0.65,95.0,0.17,167.0,0.48,85.0,9
60,1627767,Cheick Diallo,-0.66,382.0,-0.48,383.0,-0.18,302.0,9
61,1627774,Jake Layman,1.01,47.0,1.15,14.0,-0.14,291.0,9
62,1627775,Patrick McCaw,-0.29,324.0,0.44,94.0,-0.74,427.0,9
63,1627777,Georges Niang,-1.52,458.0,-0.52,391.0,-1.0,452.0,9
64,1627780,Gary Payton II,0.25,157.0,0.13,178.0,0.12,185.0,9
65,1627783,Pascal Siakam,1.55,22.0,0.63,63.0,0.92,31.0,9
66,1627788,Furkan Korkmaz,0.67,89.0,0.6,70.0,0.07,203.0,9
67,1627789,Timothe Luwawu-Cabarrot,-0.05,235.0,0.97,24.0,-1.03,455.0,9
