,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,AdjustedPossessions
0,101107,Marvin Williams,-0.02,227.0,-1.0,449.0,0.98,29.0,7
1,101108,Chris Paul,0.83,69.0,0.04,220.0,0.79,41.0,7
2,101133,Ian Mahinmi,0.49,110.0,0.25,139.0,0.24,144.0,7
3,101139,CJ Miles,0.02,215.0,-0.14,309.0,0.16,166.0,7
4,101141,Ersan Ilyasova,0.63,92.0,0.32,128.0,0.31,118.0,7
5,101150,Lou Williams,0.19,170.0,-0.01,248.0,0.2,157.0,7
6,1626143,Jahlil Okafor,-0.3,317.0,-0.47,383.0,0.17,162.0,7
7,1626144,Emmanuel Mudiay,-1.08,428.0,0.17,165.0,-1.25,464.0,7
8,1626145,Tyus Jones,-0.57,361.0,-0.86,436.0,0.29,126.0,7
9,1626149,Montrezl Harrell,1.8,18.0,1.06,24.0,0.74,46.0,7
10,1626153,Delon Wright,0.38,133.0,-0.06,269.0,0.43,98.0,7
11,1626156,DAngelo Russell,-0.62,373.0,-0.29,350.0,-0.33,352.0,7
12,1626157,Karl-Anthony Towns,0.15,183.0,-1.1,455.0,1.25,18.0,7
13,1626158,Richaun Holmes,1.48,31.0,0.57,67.0,0.91,33.0,7
14,1626159,Justise Winslow,0.66,86.0,0.99,29.0,-0.33,350.0,7
15,1626161,Willie Cauley-Stein,-0.64,376.0,0.02,234.0,-0.65,409.0,7
16,1626162,Kelly Oubre Jr.,-0.79,395.0,-0.7,414.0,-0.08,271.0,7
17,1626163,Frank Kaminsky,-0.73,389.0,-0.27,346.0,-0.46,382.0,7
18,1626164,Devin Booker,0.45,117.0,-0.99,447.0,1.44,9.0,7
19,1626167,Myles Turner,-0.49,344.0,0.2,158.0,-0.69,412.0,7
20,1626168,Trey Lyles,-0.43,337.0,-0.3,352.0,-0.13,286.0,7
21,1626169,Stanley Johnson,-0.07,243.0,0.04,219.0,-0.1,279.0,7
22,1626171,Bobby Portis,-1.84,467.0,-1.03,450.0,-0.81,426.0,7
23,1626172,Kevon Looney,-0.88,405.0,0.01,240.0,-0.89,436.0,7
24,1626174,Christian Wood,1.95,15.0,1.13,20.0,0.82,39.0,7
25,1626178,Rondae Hollis-Jefferson,0.31,149.0,-0.08,277.0,0.38,105.0,7
26,1626179,Terry Rozier,-1.8,465.0,-0.85,435.0,-0.94,440.0,7
27,1626181,Norman Powell,-0.14,272.0,0.33,122.0,-0.47,384.0,7
28,1626188,Quinn Cook,0.92,64.0,0.22,149.0,0.69,52.0,7
29,1626192,Pat Connaughton,1.09,49.0,0.18,161.0,0.91,34.0,7
30,1626195,Willy Hernangomez,-0.54,353.0,-0.28,348.0,-0.27,329.0,7
31,1626196,Josh Richardson,0.63,91.0,0.52,79.0,0.12,189.0,7
32,1626203,Treveon Graham,-1.14,432.0,0.2,155.0,-1.34,467.0,7
33,1626204,Larry Nance Jr.,-1.04,427.0,-0.76,421.0,-0.28,331.0,7
34,1626209,Mario Hezonja,-0.38,327.0,0.19,160.0,-0.58,401.0,7
