,PLAYER_ID,PLAYER_NAME,Stable SPR,Positionally Adj Stable SPR,Raw
0,1713,Vince Carter,-1.7,-0.18,0.0
1,2199,Tyson Chandler,-1.1,0.31,0.0
2,2544,LeBron James,4.5,5.82,0.0
3,2546,Carmelo Anthony,-1.5,-0.07,0.0
4,2594,Kyle Korver,0.1,0.81,0.0
5,2617,Udonis Haslem,-2.1,-0.51,0.0
6,2730,Dwight Howard,-1.3,-0.01,0.0
7,2772,Trevor Ariza,-1.1,0.52,0.0
8,101107,Marvin Williams,-1.5,0.34,0.0
9,101108,Chris Paul,3.8,5.12,0.0
10,101133,Ian Mahinmi,-0.4,1.21,0.0
11,101139,CJ Miles,-1.1,0.51,0.0
12,101141,Ersan Ilyasova,0.1,0.86,0.0
13,101150,Lou Williams,-1.3,-0.59,0.0
14,200746,LaMarcus Aldridge,2.1,3.61,0.0
15,200752,Rudy Gay,-1.5,0.03,0.0
16,200755,JJ Redick,0.9,2.44,0.0
17,200757,Thabo Sefolosha,-1.1,0.27,0.0
18,200765,Rajon Rondo,-0.7,0.61,0.0
19,200768,Kyle Lowry,2.4,3.57,0.0
20,200782,P.J. Tucker,-0.1,1.29,0.0
21,200794,Paul Millsap,1.4,2.96,0.0
22,200826,J.J. Barea,-0.8,0.27,0.0
23,201143,Al Horford,1.9,3.52,0.0
24,201144,Mike Conley,-0.4,0.62,0.0
25,201145,Jeff Green,-1.5,-0.41,0.0
26,201152,Thaddeus Young,-1.3,0.45,0.0
27,201158,Marco Belinelli,-2.3,-0.81,0.0
28,201162,Jared Dudley,-0.8,0.44,0.0
29,201163,Wilson Chandler,-1.8,-0.56,0.0
30,201188,Marc Gasol,1.0,2.15,0.0
31,201229,Anthony Tolliver,-1.4,0.07,0.0
32,201565,Derrick Rose,-2.3,-1.03,0.0
33,201566,Russell Westbrook,-0.2,1.21,0.0
34,201567,Kevin Love,1.4,2.44,0.0
35,201568,Danilo Gallinari,2.1,3.45,0.0
36,201569,Eric Gordon,-2.0,-0.56,0.0
37,201571,D.J. Augustin,-1.1,0.37,0.0
38,201572,Brook Lopez,1.7,2.42,0.0
39,201577,Robin Lopez,-1.0,-0.3,0.0
40,201580,JaVale McGee,2.2,3.43,0.0
41,201583,Ryan Anderson,-1.3,0.13,0.0
42,201584,Courtney Lee,-1.0,0.11,0.0
43,201586,Serge Ibaka,-1.5,-0.34,0.0
44,201587,Nicolas Batum,-0.8,1.02,0.0
45,201588,George Hill,0.4,1.16,0.0
46,201599,DeAndre Jordan,-0.3,0.91,0.0
47,201609,Goran Dragic,-1.4,0.18,0.0
48,201933,Blake Griffin,-1.1,0.12,0.0
49,201935,James Harden,6.8,8.2,0.0
50,201937,Ricky Rubio,1.7,3.15,0.0
51,201939,Stephen Curry,0.1,1.85,0.0
52,201942,DeMar DeRozan,1.5,3.04,0.0
53,201949,James Johnson,-1.7,-0.08,0.0
54,201950,Jrue Holiday,0.6,2.09,0.0
55,201952,Jeff Teague,-0.5,0.94,0.0
56,201959,Taj Gibson,-0.4,0.9,0.0
57,201960,DeMarre Carroll,-1.7,-0.23,0.0
58,201961,Wayne Ellington,-1.3,0.08,0.0
59,201976,Patrick Beverley,1.5,2.19,0.0
60,201980,Danny Green,0.2,1.45,0.0
61,201988,Patty Mills,-0.9,0.57,0.0
62,202066,Garrett Temple,-0.6,0.56,0.0
63,202083,Wesley Matthews,0.3,0.97,0.0
64,202323,Evan Turner,-2.7,-1.17,0.0
65,202324,Derrick Favors,0.5,2.02,0.0
66,202329,Al-Farouq Aminu,-1.3,0.2,0.0
67,202330,Gordon Hayward,2.3,3.69,0.0
68,202331,Paul George,2.9,3.6,0.0
69,202334,Ed Davis,-1.4,-0.36,0.0
70,202335,Patrick Patterson,0.5,1.21,0.0
71,202339,Eric Bledsoe,2.5,3.24,0.0
72,202340,Avery Bradley,-2.2,-0.91,0.0
73,202355,Hassan Whiteside,1.8,3.21,0.0
74,202357,Nemanja Bjelica,1.4,3.04,0.0
75,202397,Ish Smith,-1.5,0.15,0.0
76,202681,Kyrie Irving,3.2,4.42,0.0
77,202683,Enes Kanter,-0.4,1.0,0.0
78,202684,Tristan Thompson,0.3,1.33,0.0
79,202685,Jonas Valanciunas,1.4,2.68,0.0
80,202687,Bismack Biyombo,-0.3,1.52,0.0
81,202688,Brandon Knight,-0.5,0.54,0.0
82,202689,Kemba Walker,3.2,4.57,0.0
83,202692,Alec Burks,-0.5,1.23,0.0
84,202693,Markieff Morris,-0.7,0.57,0.0
85,202694,Marcus Morris Sr.,0.9,2.26,0.0
86,202695,Kawhi Leonard,3.9,4.62,0.0
87,202696,Nikola Vucevic,2.9,4.41,0.0
88,202697,Iman Shumpert,-1.4,-0.2,0.0
89,202699,Tobias Harris,0.9,2.56,0.0
