Player,Position,Age of Player at the start of February 1st of that season.,Team,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,2-Point Field Goals,2-point Field Goal Attempts,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,id
D.J. Augustin,PG,31,ORL,35,35,983,128,278,.460,60,137,.438,68,141,.482,.568,85,94,.904,17,59,76,172,17,0,49,49,401,augusdj01
Deandre Ayton,C,20,PHO,38,37,1190,285,471,.605,0,2,.000,285,469,.608,.605,75,98,.765,121,293,414,83,28,35,69,106,645,aytonde01
Dwayne Bacon,SG,23,CHO,17,0,210,37,71,.521,10,19,.526,27,52,.519,.592,10,12,.833,2,28,30,14,3,0,8,23,94,bacondw01
Marvin Bagley,PF,19,SAC,26,0,600,125,233,.536,9,26,.346,116,207,.560,.556,71,104,.683,63,96,159,24,11,27,43,51,330,baglema01
Ron Baker,SG,25,TOT,14,0,150,4,20,.200,1,13,.077,3,7,.429,.225,5,6,.833,1,10,11,15,6,1,5,18,14,bakerro01
Ron Baker,SG,25,NYK,11,0,107,4,16,.250,1,9,.111,3,7,.429,.281,5,6,.833,1,6,7,13,5,0,3,16,14,bakerro01
Ron Baker,SG,25,WAS,3,0,43,0,4,.000,0,4,.000,0,0,,.000,0,0,,0,4,4,2,1,1,2,2,0,bakerro01
Wade Baldwin,PG,22,POR,13,0,72,8,26,.308,2,7,.286,6,19,.316,.346,8,11,.727,1,8,9,10,0,2,11,7,26,baldwwa01
Lonzo Ball,PG,21,LAL,37,35,1094,141,346,.408,55,173,.318,86,173,.497,.487,17,35,.486,38,152,190,185,54,14,80,84,354,balllo01
Mohamed Bamba,C,20,ORL,35,1,583,90,196,.459,18,62,.290,72,134,.537,.505,24,44,.545,49,122,171,35,12,46,28,80,222,bambamo01
J.J. Barea,PG,34,DAL,33,0,662,143,337,.424,35,111,.315,108,226,.478,.476,50,69,.725,10,70,80,191,21,1,64,41,371,bareajo01
Harrison Barnes,SF,26,DAL,32,32,1028,204,472,.432,86,201,.428,118,271,.435,.523,100,124,.806,26,110,136,34,26,9,46,56,594,barneha02
Will Barton,SG,28,DEN,2,2,54,12,21,.571,5,9,.556,7,12,.583,.690,4,4,1.000,0,10,10,6,1,2,3,5,33,bartowi01
Keita Bates-Diop,SF,23,MIN,2,0,18,2,8,.250,0,4,.000,2,4,.500,.250,0,0,,0,3,3,0,0,1,0,1,4,bateske01
Nicolas Batum,SF,30,CHO,36,36,1102,121,265,.457,47,119,.395,74,146,.507,.545,28,34,.824,34,151,185,123,29,15,57,66,317,batumni01
Jerryd Bayless,PG,30,MIN,5,0,52,5,20,.250,3,10,.300,2,10,.200,.325,1,1,1.000,1,3,4,9,2,0,4,5,14,bayleje01
Aron Baynes,C,32,BOS,25,9,356,47,104,.452,12,37,.324,35,67,.522,.510,31,36,.861,39,67,106,30,4,11,18,54,137,baynear01
Kent Bazemore,SG,29,ATL,35,30,959,177,401,.441,54,165,.327,123,236,.521,.509,82,109,.752,20,119,139,92,60,32,73,94,490,bazemke01
Bradley Beal,SG,25,WAS,37,37,1356,327,694,.471,86,255,.337,241,439,.549,.533,134,171,.784,36,144,180,174,45,32,95,110,874,bealbr01
Malik Beasley,SG,22,DEN,35,0,724,127,275,.462,58,143,.406,69,132,.523,.567,20,22,.909,15,77,92,42,23,3,19,49,332,beaslma01
Michael Beasley,PF,30,LAL,10,0,71,19,37,.514,1,4,.250,18,33,.545,.527,5,6,.833,3,11,14,3,2,0,7,15,44,beaslmi01
Marco Belinelli,SG,32,SAS,37,0,807,127,317,.401,66,178,.371,61,139,.439,.505,48,55,.873,8,76,84,71,20,5,30,56,368,belinma01
Jordan Bell,C,24,GSW,36,1,419,41,78,.526,0,1,.000,41,77,.532,.526,13,20,.650,26,72,98,43,14,30,19,50,95,belljo01
DeAndre' Bembry,SG,24,ATL,36,2,842,110,270,.407,27,87,.310,83,183,.454,.457,38,64,.594,21,133,154,96,46,25,58,84,285,bembrde01
Dragan Bender,PF,21,PHO,12,0,100,9,25,.360,2,14,.143,7,11,.636,.400,6,7,.857,5,13,18,7,1,1,6,8,26,bendedr01
Davis Bertans,PF,26,SAS,34,4,631,89,180,.494,65,133,.489,24,47,.511,.675,22,24,.917,15,92,107,34,14,13,19,52,265,bertada01
Patrick Beverley,PG,30,LAC,37,16,914,80,217,.369,44,126,.349,36,91,.396,.470,49,63,.778,26,110,136,124,23,11,38,131,253,beverpa01
Khem Birch,C,26,ORL,13,0,99,11,22,.500,0,1,.000,11,21,.524,.500,8,8,1.000,8,15,23,4,5,3,3,11,30,birchkh01
Bismack Biyombo,C,26,CHO,11,0,84,8,14,.571,0,0,,8,14,.571,.571,4,9,.444,6,14,20,2,1,9,4,21,20,biyombi01
Nemanja Bjelica,PF,30,SAC,37,36,918,154,307,.502,58,132,.439,96,175,.549,.596,43,56,.768,58,172,230,72,30,32,51,100,409,bjeline01
Antonio Blakeney,SG,22,CHI,29,0,450,95,227,.419,27,60,.450,68,167,.407,.478,30,44,.682,5,48,53,15,8,5,22,20,247,blakean01
Eric Bledsoe,PG,29,MIL,36,36,1070,212,427,.496,54,163,.331,158,264,.598,.560,78,104,.750,37,120,157,200,46,15,77,82,556,bledser01
Jaron Blossomgame,SF,25,CLE,14,4,269,25,59,.424,9,27,.333,16,32,.500,.500,6,7,.857,16,42,58,8,6,4,7,9,65,blossja01
Bogdan Bogdanovic,SG,26,SAC,25,4,690,142,325,.437,53,146,.363,89,179,.497,.518,56,70,.800,13,72,85,95,20,4,41,53,393,bogdabo01
Bojan Bogdanovic,SF,29,IND,37,37,1169,211,414,.510,75,164,.457,136,250,.544,.600,104,125,.832,18,126,144,59,34,0,67,60,601,bogdabo02
Jonah Bolden,PF,23,PHI,13,0,134,15,33,.455,3,18,.167,12,15,.800,.500,4,8,.500,10,26,36,4,3,9,9,20,37,boldejo01
