Player,Position,Age of Player at the start of February 1st of that season.,Team,Games,Games Started,Minutes Played,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,2-Point Field Goals,2-point Field Goal Attempts,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,id
Justise Winslow,PF,22,MIA,30,17,857,132,318,.415,40,108,.370,92,210,.438,.478,43,65,.662,30,129,159,110,35,9,65,76,347,winslju01
Christian Wood,PF,23,MIL,6,0,37,9,17,.529,2,4,.500,7,13,.538,.588,5,6,.833,4,12,16,2,0,0,2,2,25,woodch01
Delon Wright,PG,26,TOR,34,2,613,82,195,.421,22,67,.328,60,128,.469,.477,26,30,.867,26,58,84,69,26,9,28,32,212,wrighde01
Guerschon Yabusele,PF,23,BOS,19,0,111,12,33,.364,3,14,.214,9,19,.474,.409,9,12,.750,8,13,21,8,5,3,4,19,36,yabusgu01
Nick Young,SG,33,DEN,4,0,37,3,9,.333,3,8,.375,0,1,.000,.500,0,0,,0,1,1,2,0,1,2,4,9,youngni01
Thaddeus Young,PF,30,IND,37,37,1106,194,377,.515,13,51,.255,181,326,.555,.532,45,76,.592,78,135,213,60,57,18,42,84,446,youngth01
Trae Young,PG,20,ATL,36,36,1057,199,503,.396,50,182,.275,149,321,.464,.445,115,147,.782,24,80,104,266,30,10,145,58,563,youngtr01
Cody Zeller,C,26,CHO,35,35,857,129,231,.558,5,16,.313,124,215,.577,.569,64,76,.842,72,146,218,74,25,28,45,113,327,zelleco01
Ante Zizic,C,22,CLE,24,2,259,37,78,.474,0,0,,37,78,.474,.474,20,33,.606,28,53,81,13,2,7,21,32,94,zizican01
Ivica Zubac,C,21,LAL,16,5,210,39,69,.565,0,0,,39,69,.565,.565,12,13,.923,20,41,61,10,4,14,10,30,90,zubaciv01
