,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank
0,101107,Marvin Williams,-0.09,264.0,-0.92,436.0,0.82,49.0
1,101108,Chris Paul,0.83,75.0,-0.1,291.0,0.93,38.0
2,101133,Ian Mahinmi,0.16,170.0,0.03,232.0,0.13,180.0
3,101139,CJ Miles,-0.12,270.0,-0.39,363.0,0.27,138.0
4,101141,Ersan Ilyasova,0.98,62.0,0.24,148.0,0.74,55.0
5,101150,Lou Williams,0.58,100.0,0.08,211.0,0.51,88.0
6,1626143,Jahlil Okafor,-0.81,395.0,-0.6,400.0,-0.21,314.0
7,1626144,Emmanuel Mudiay,-0.47,352.0,0.11,192.0,-0.59,396.0
8,1626145,Tyus Jones,-0.77,392.0,-0.83,433.0,0.06,205.0
9,1626149,Montrezl Harrell,2.23,10.0,1.04,22.0,1.2,19.0
10,1626153,Delon Wright,0.72,85.0,0.27,138.0,0.45,98.0
11,1626156,DAngelo Russell,-1.17,429.0,-0.74,422.0,-0.43,366.0
12,1626157,Karl-Anthony Towns,0.62,97.0,-1.24,459.0,1.86,4.0
13,1626158,Richaun Holmes,1.11,46.0,0.23,151.0,0.88,43.0
14,1626159,Justise Winslow,0.85,74.0,0.97,29.0,-0.12,280.0
15,1626161,Willie Cauley-Stein,-0.36,336.0,0.31,130.0,-0.67,413.0
16,1626162,Kelly Oubre Jr.,-0.36,337.0,-0.58,399.0,0.22,151.0
17,1626163,Frank Kaminsky,-0.68,382.0,-0.28,343.0,-0.4,358.0
18,1626164,Devin Booker,-0.02,231.0,-1.43,465.0,1.41,10.0
19,1626167,Myles Turner,0.03,206.0,0.12,191.0,-0.08,262.0
20,1626168,Trey Lyles,-0.17,291.0,-0.51,385.0,0.34,117.0
21,1626169,Stanley Johnson,-0.08,257.0,0.13,184.0,-0.2,313.0
22,1626171,Bobby Portis,-1.37,445.0,-0.76,426.0,-0.61,401.0
23,1626172,Kevon Looney,-0.99,413.0,-0.11,296.0,-0.88,436.0
24,1626174,Christian Wood,1.74,19.0,0.72,51.0,1.02,26.0
25,1626178,Rondae Hollis-Jefferson,0.31,146.0,0.21,156.0,0.09,192.0
26,1626179,Terry Rozier,-1.95,468.0,-0.93,437.0,-1.02,452.0
27,1626181,Norman Powell,0.0,222.0,0.58,80.0,-0.58,394.0
28,1626188,Quinn Cook,0.66,91.0,0.2,162.0,0.46,96.0
29,1626192,Pat Connaughton,0.85,73.0,0.06,219.0,0.79,52.0
30,1626195,Willy Hernangomez,-0.61,372.0,-0.3,348.0,-0.31,339.0
31,1626196,Josh Richardson,0.64,94.0,0.52,87.0,0.12,182.0
32,1626203,Treveon Graham,-1.22,433.0,-0.08,278.0,-1.14,457.0
33,1626204,Larry Nance Jr.,-0.7,385.0,-0.56,395.0,-0.15,292.0
34,1626209,Mario Hezonja,-0.7,384.0,0.08,212.0,-0.77,421.0
35,1626220,Royce ONeale,1.59,23.0,1.01,25.0,0.58,71.0
36,1626224,Cedi Osman,-0.05,251.0,0.11,197.0,-0.16,295.0
37,1626246,Boban Marjanovic,0.99,58.0,0.14,176.0,0.84,45.0
38,1626259,Malcolm Miller,0.75,83.0,0.26,141.0,0.5,91.0
39,1627732,Ben Simmons,0.77,81.0,0.21,160.0,0.56,78.0
40,1627733,Dragan Bender,0.32,144.0,0.06,221.0,0.26,141.0
41,1627734,Domantas Sabonis,1.72,21.0,1.2,16.0,0.52,86.0
42,1627736,Malik Beasley,0.24,156.0,-0.14,303.0,0.38,113.0
43,1627737,Marquese Chriss,-1.01,415.0,-0.77,428.0,-0.24,324.0
44,1627739,Kris Dunn,0.15,172.0,1.3,11.0,-1.15,458.0
45,1627740,Henry Ellenson,0.2,161.0,0.27,136.0,-0.08,256.0
46,1627741,Buddy Hield,-0.6,370.0,-0.74,421.0,0.14,175.0
47,1627742,Brandon Ingram,-0.41,343.0,-0.75,424.0,0.34,120.0
48,1627745,Damian Jones,-1.55,455.0,-1.24,460.0,-0.31,341.0
49,1627746,Skal Labissiere,0.71,87.0,0.21,158.0,0.5,90.0
50,1627747,Caris LeVert,0.09,186.0,-0.15,308.0,0.24,146.0
51,1627748,Thon Maker,-0.92,407.0,-1.0,443.0,0.08,198.0
52,1627749,Dejounte Murray,-0.34,330.0,-0.52,388.0,0.18,164.0
53,1627750,Jamal Murray,1.16,43.0,0.59,78.0,0.58,73.0
54,1627751,Jakob Poeltl,1.26,37.0,-0.01,257.0,1.27,14.0
55,1627752,Taurean Prince,0.66,90.0,0.1,204.0,0.57,76.0
56,1627756,Denzel Valentine,0.38,132.0,0.92,34.0,-0.54,388.0
57,1627759,Jaylen Brown,1.54,25.0,0.34,123.0,1.2,18.0
58,1627761,DeAndre Bembry,-2.11,470.0,-0.53,392.0,-1.58,471.0
59,1627763,Malcolm Brogdon,0.45,123.0,0.11,193.0,0.34,119.0
60,1627767,Cheick Diallo,-0.03,238.0,-0.28,342.0,0.25,144.0
61,1627774,Jake Layman,0.61,98.0,0.83,38.0,-0.22,319.0
62,1627775,Patrick McCaw,-0.83,396.0,0.04,231.0,-0.86,435.0
63,1627777,Georges Niang,-1.94,467.0,-0.75,425.0,-1.18,461.0
64,1627780,Gary Payton II,0.02,212.0,-0.01,250.0,0.03,218.0
65,1627783,Pascal Siakam,1.89,17.0,0.98,27.0,0.9,40.0
66,1627788,Furkan Korkmaz,0.9,70.0,0.61,71.0,0.29,134.0
67,1627789,Timothe Luwawu-Cabarrot,-0.32,327.0,0.62,67.0,-0.95,447.0
68,1627790,Ante Zizic,-0.07,254.0,-0.47,379.0,0.4,106.0
69,1627812,Yogi Ferrell,-0.26,315.0,0.22,153.0,-0.48,379.0
70,1627814,Damion Lee,0.67,89.0,0.44,101.0,0.23,149.0
71,1627820,Tyrone Wallace,-0.19,297.0,0.25,143.0,-0.44,370.0
72,1627823,Juancho Hernangomez,0.43,126.0,0.63,65.0,-0.2,310.0
73,1627826,Ivica Zubac,0.48,117.0,0.72,52.0,-0.24,326.0
74,1627827,Dorian Finney-Smith,1.37,32.0,-0.14,306.0,1.51,7.0
75,1627832,Fred VanVleet,0.61,99.0,0.53,86.0,0.08,200.0
76,1627846,Abdel Nader,-0.47,351.0,0.34,124.0,-0.81,427.0
77,1627853,Ryan Arcidiacono,0.0,223.0,0.66,60.0,-0.66,412.0
78,1627854,Bryn Forbes,-1.41,448.0,-0.85,434.0,-0.56,391.0
79,1627863,Danuel House Jr.,0.96,63.0,0.17,170.0,0.79,53.0
80,1627884,Derrick Jones Jr.,0.02,213.0,-0.45,374.0,0.47,93.0
81,1627885,Shaquille Harrison,0.8,78.0,0.77,46.0,0.03,216.0
82,1627936,Alex Caruso,1.92,15.0,1.6,4.0,0.32,127.0
83,1627982,Josh Gray,-0.15,285.0,0.12,187.0,-0.27,335.0
84,1628021,David Nwaba,0.86,72.0,1.02,24.0,-0.16,294.0
85,1628035,Alfonzo McKinnie,-0.23,310.0,-0.77,430.0,0.54,82.0
86,1628365,Markelle Fultz,0.02,215.0,0.12,188.0,-0.1,269.0
87,1628366,Lonzo Ball,-0.62,373.0,-0.14,304.0,-0.49,380.0
88,1628368,DeAaron Fox,-0.64,374.0,-1.03,447.0,0.39,109.0
89,1628369,Jayson Tatum,1.91,16.0,1.0,26.0,0.91,39.0
90,1628370,Malik Monk,-0.58,367.0,0.14,179.0,-0.72,417.0
91,1628371,Jonathan Isaac,0.93,67.0,1.02,23.0,-0.09,264.0
92,1628372,Dennis Smith Jr.,-1.61,458.0,-0.76,427.0,-0.85,432.0
93,1628373,Frank Ntilikina,-0.38,340.0,-0.14,307.0,-0.24,325.0
94,1628374,Lauri Markkanen,-0.67,380.0,0.2,163.0,-0.86,434.0
95,1628378,Donovan Mitchell,0.68,88.0,-0.28,341.0,0.96,32.0
96,1628379,Luke Kennard,0.08,190.0,-0.43,371.0,0.51,87.0
