,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank
0,101107,Marvin Williams,-0.18,292.0,-0.96,441.0,0.78,51.0
1,101108,Chris Paul,0.82,74.0,-0.1,296.0,0.93,40.0
2,101133,Ian Mahinmi,0.15,170.0,0.02,237.0,0.13,181.0
3,101139,CJ Miles,-0.12,271.0,-0.39,363.0,0.27,136.0
4,101141,Ersan Ilyasova,1.06,55.0,0.27,141.0,0.79,50.0
5,101150,Lou Williams,0.58,100.0,0.1,199.0,0.47,91.0
6,1626143,Jahlil Okafor,-0.8,396.0,-0.6,399.0,-0.21,314.0
7,1626144,Emmanuel Mudiay,-0.48,354.0,0.11,195.0,-0.59,397.0
8,1626145,Tyus Jones,-0.77,393.0,-0.83,433.0,0.06,207.0
9,1626149,Montrezl Harrell,2.23,9.0,1.06,23.0,1.17,18.0
10,1626153,Delon Wright,0.72,87.0,0.28,136.0,0.44,98.0
11,1626156,DAngelo Russell,-1.15,429.0,-0.74,422.0,-0.41,361.0
12,1626157,Karl-Anthony Towns,0.62,98.0,-1.24,459.0,1.85,4.0
13,1626158,Richaun Holmes,1.11,46.0,0.22,153.0,0.9,41.0
14,1626159,Justise Winslow,0.74,84.0,0.92,31.0,-0.18,303.0
15,1626161,Willie Cauley-Stein,-0.35,333.0,0.31,129.0,-0.66,412.0
16,1626162,Kelly Oubre Jr.,-0.4,341.0,-0.59,398.0,0.19,164.0
17,1626163,Frank Kaminsky,-0.71,389.0,-0.3,346.0,-0.41,363.0
18,1626164,Devin Booker,0.0,221.0,-1.44,466.0,1.44,10.0
19,1626167,Myles Turner,0.0,219.0,0.12,191.0,-0.11,275.0
20,1626168,Trey Lyles,-0.12,272.0,-0.46,377.0,0.34,118.0
21,1626169,Stanley Johnson,-0.08,255.0,0.13,187.0,-0.2,313.0
22,1626171,Bobby Portis,-1.26,438.0,-0.74,423.0,-0.52,386.0
23,1626172,Kevon Looney,-0.99,414.0,-0.11,298.0,-0.88,436.0
24,1626174,Christian Wood,1.74,20.0,0.72,49.0,1.02,27.0
25,1626178,Rondae Hollis-Jefferson,0.32,138.0,0.2,162.0,0.12,183.0
26,1626179,Terry Rozier,-1.97,468.0,-0.92,437.0,-1.05,454.0
27,1626181,Norman Powell,0.02,212.0,0.57,82.0,-0.55,392.0
28,1626188,Quinn Cook,0.66,92.0,0.2,163.0,0.46,95.0
29,1626192,Pat Connaughton,0.72,86.0,-0.03,262.0,0.75,55.0
30,1626195,Willy Hernangomez,-0.67,384.0,-0.36,358.0,-0.31,338.0
31,1626196,Josh Richardson,0.64,95.0,0.52,90.0,0.12,182.0
