,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank
158,1628991,Jaren Jackson Jr.,-1.34,443.0,-1.21,456.0,-0.14,290.0
159,1628993,Alize Johnson,0.11,181.0,-0.11,300.0,0.22,152.0
160,1628995,Kevin Knox,-1.63,457.0,-0.75,423.0,-0.88,437.0
161,1629001,DeAnthony Melton,1.49,27.0,0.47,93.0,1.02,28.0
162,1629002,Chimezie Metu,0.07,193.0,0.11,199.0,-0.04,239.0
163,1629003,Shake Milton,-0.25,312.0,0.15,179.0,-0.4,357.0
164,1629004,Svi Mykhailiuk,0.44,126.0,-0.01,252.0,0.45,96.0
165,1629006,Josh Okogie,-0.01,223.0,0.37,117.0,-0.37,354.0
166,1629010,Jerome Robinson,0.52,111.0,0.4,110.0,0.12,186.0
167,1629011,Mitchell Robinson,-0.41,342.0,-0.45,376.0,0.03,214.0
168,1629012,Collin Sexton,-1.49,449.0,-1.43,465.0,-0.06,248.0
169,1629013,Landry Shamet,-0.87,404.0,-0.44,374.0,-0.43,368.0
170,1629014,Anfernee Simons,-2.21,471.0,-1.56,470.0,-0.65,407.0
171,1629016,Omari Spellman,-0.6,370.0,-0.24,334.0,-0.35,350.0
172,1629017,Khyri Thomas,-0.07,251.0,0.06,220.0,-0.13,284.0
173,1629018,Gary Trent Jr.,0.02,208.0,-0.29,346.0,0.31,129.0
174,1629019,Allonzo Trier,-0.98,412.0,-0.44,371.0,-0.55,388.0
175,1629020,Jarred Vanderbilt,-0.02,231.0,-0.09,290.0,0.06,202.0
176,1629021,Moritz Wagner,0.17,162.0,-0.03,264.0,0.2,161.0
177,1629022,Lonnie Walker IV,0.77,79.0,0.8,40.0,-0.03,235.0
178,1629026,Kenrich Williams,0.01,214.0,0.14,181.0,-0.13,286.0
179,1629027,Trae Young,-1.03,417.0,-1.46,467.0,0.43,99.0
180,1629028,Deandre Ayton,0.32,140.0,0.45,98.0,-0.13,289.0
181,1629029,Luka Doncic,1.2,41.0,-0.47,380.0,1.68,6.0
182,1629033,Theo Pinson,-0.32,326.0,0.63,67.0,-0.95,449.0
183,1629057,Robert Williams III,-0.09,265.0,-0.37,359.0,0.28,136.0
184,1629058,Dzanan Musa,-0.89,405.0,-0.08,286.0,-0.81,429.0
185,1629059,Elie Okobo,0.4,130.0,-0.3,347.0,0.71,57.0
186,1629066,Rodions Kurucs,-0.33,329.0,0.61,74.0,-0.94,445.0
187,1629067,Isaac Bonga,-0.31,323.0,-0.04,266.0,-0.27,333.0
188,1629109,Gary Clark,-0.29,320.0,-0.48,381.0,0.18,164.0
189,1629117,Wenyen Gabriel,-0.16,290.0,0.03,229.0,-0.19,305.0
190,1629126,Deonte Burton,-0.31,324.0,0.09,207.0,-0.41,362.0
191,1629130,Duncan Robinson,1.09,45.0,0.19,166.0,0.9,38.0
192,1629133,Daryl Macon,-0.02,232.0,0.17,173.0,-0.2,307.0
193,1629139,Yuta Watanabe,0.17,164.0,0.12,196.0,0.05,208.0
194,1629140,Johnathan Williams,-0.43,346.0,-0.18,325.0,-0.25,326.0
195,1629151,Ryan Broekhoff,-0.09,261.0,-0.01,254.0,-0.07,255.0
196,1629164,Brandon Goodwin,-0.2,304.0,0.25,143.0,-0.46,375.0
197,1629168,BJ Johnson,-0.12,274.0,-0.01,249.0,-0.11,281.0
198,1629185,Chris Chiozza,0.97,60.0,1.23,14.0,-0.25,327.0
