,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,RAPM__intercept
78,1627854,Bryn Forbes,-1.42,447.0,-0.85,434.0,-0.56,389.0,110.2
79,1627863,Danuel House Jr.,0.96,62.0,0.18,170.0,0.79,49.0,110.2
80,1627884,Derrick Jones Jr.,0.02,211.0,-0.44,374.0,0.46,96.0,110.2
81,1627885,Shaquille Harrison,0.8,73.0,0.77,45.0,0.03,217.0,110.2
82,1627936,Alex Caruso,1.92,17.0,1.6,4.0,0.32,127.0,110.2
83,1627982,Josh Gray,-0.15,287.0,0.12,188.0,-0.27,334.0,110.2
84,1628021,David Nwaba,0.9,67.0,1.06,24.0,-0.16,295.0,110.2
85,1628035,Alfonzo McKinnie,-0.23,307.0,-0.77,426.0,0.54,79.0,110.2
86,1628365,Markelle Fultz,0.01,215.0,0.11,192.0,-0.1,272.0,110.2
87,1628366,Lonzo Ball,-0.62,375.0,-0.13,302.0,-0.48,377.0,110.2
88,1628368,DeAaron Fox,-0.67,385.0,-1.04,446.0,0.37,113.0,110.2
89,1628369,Jayson Tatum,3.09,2.0,1.6,5.0,1.49,8.0,110.2
90,1628370,Malik Monk,-0.58,371.0,0.13,185.0,-0.71,416.0,110.2
91,1628371,Jonathan Isaac,0.93,66.0,1.02,26.0,-0.09,265.0,110.2
92,1628372,Dennis Smith Jr.,-1.66,460.0,-0.76,424.0,-0.9,439.0,110.2
93,1628373,Frank Ntilikina,-0.35,334.0,-0.12,300.0,-0.23,319.0,110.2
94,1628374,Lauri Markkanen,-0.67,382.0,0.19,164.0,-0.86,433.0,110.2
95,1628378,Donovan Mitchell,0.68,91.0,-0.28,342.0,0.96,32.0,110.2
96,1628379,Luke Kennard,0.08,191.0,-0.44,372.0,0.52,85.0,110.2
97,1628380,Zach Collins,0.44,125.0,0.21,160.0,0.24,150.0,110.2
98,1628381,John Collins,-0.35,333.0,0.59,77.0,-0.94,444.0,110.2
99,1628382,Justin Jackson,0.1,186.0,-0.53,392.0,0.63,67.0,110.2
100,1628383,Justin Patton,-0.05,247.0,-0.07,277.0,0.03,219.0,110.2
101,1628384,OG Anunoby,1.32,34.0,0.82,40.0,0.5,88.0,110.2
102,1628385,Harry Giles III,-0.23,308.0,0.03,233.0,-0.26,332.0,110.2
103,1628386,Jarrett Allen,0.52,110.0,0.02,238.0,0.49,90.0,110.2
104,1628388,TJ Leaf,0.07,195.0,0.57,80.0,-0.5,380.0,110.2
105,1628389,Bam Adebayo,1.26,39.0,0.66,59.0,0.59,74.0,110.2
106,1628390,Terrance Ferguson,-0.87,402.0,-0.69,408.0,-0.18,303.0,110.2
107,1628391,D.J. Wilson,-0.53,360.0,-0.43,367.0,-0.1,274.0,110.2
108,1628392,Isaiah Hartenstein,0.3,146.0,-0.01,250.0,0.32,129.0,110.2
109,1628395,Jordan Bell,-0.01,225.0,-0.51,387.0,0.5,86.0,110.2
110,1628396,Tony Bradley,-0.43,346.0,-0.17,316.0,-0.26,333.0,110.2
111,1628398,Kyle Kuzma,0.94,64.0,0.47,94.0,0.47,93.0,110.2
112,1628400,Semi Ojeleye,-0.24,310.0,0.35,121.0,-0.59,395.0,110.2
113,1628401,Derrick White,-0.57,369.0,0.13,186.0,-0.7,415.0,110.2
114,1628402,Frank Jackson,-1.08,423.0,-1.28,462.0,0.2,161.0,110.2
115,1628403,Caleb Swanigan,0.1,185.0,0.21,156.0,-0.11,278.0,110.2
116,1628404,Josh Hart,-0.09,264.0,0.37,118.0,-0.46,374.0,110.2
117,1628405,Johnathan Motley,-0.0,221.0,-0.06,273.0,0.06,203.0,110.2
118,1628407,Dwayne Bacon,-1.05,420.0,-0.01,245.0,-1.04,453.0,110.2
119,1628410,Edmond Sumner,-0.65,378.0,-0.23,331.0,-0.42,365.0,110.2
120,1628411,Wes Iwundu,0.32,142.0,0.43,103.0,-0.11,276.0,110.2
121,1628412,Frank Mason,0.32,139.0,0.18,169.0,0.15,174.0,110.2
122,1628413,Jonah Bolden,-0.19,297.0,-0.13,301.0,-0.07,250.0,110.2
123,1628415,Dillon Brooks,-1.15,428.0,-0.37,359.0,-0.78,424.0,110.2
124,1628418,Thomas Bryant,-1.28,439.0,-1.09,451.0,-0.19,306.0,110.2
125,1628420,Monte Morris,-0.12,274.0,0.22,149.0,-0.35,348.0,110.2
126,1628422,Damyean Dotson,-0.27,314.0,-0.3,346.0,0.03,215.0,110.2
127,1628425,Sterling Brown,0.75,80.0,0.84,37.0,-0.08,263.0,110.2
128,1628436,Luke Kornet,-0.54,362.0,-0.34,353.0,-0.2,310.0,110.2
129,1628443,Kadeem Allen,-0.13,280.0,-0.06,272.0,-0.08,259.0,110.2
130,1628449,Chris Boucher,0.86,71.0,0.2,163.0,0.67,59.0,110.2
131,1628464,Daniel Theis,0.96,61.0,0.66,61.0,0.3,131.0,110.2
132,1628467,Maxi Kleber,1.02,55.0,0.78,44.0,0.24,151.0,110.2
133,1628470,Torrey Craig,-0.35,336.0,-0.16,313.0,-0.19,307.0,110.2
134,1628476,Derrick Walton Jr.,0.3,147.0,0.18,167.0,0.12,183.0,110.2
135,1628513,Naz Mitrou-Long,0.4,131.0,0.39,112.0,0.02,221.0,110.2
136,1628518,Amile Jefferson,0.04,203.0,0.06,215.0,-0.03,234.0,110.2
137,1628960,Grayson Allen,-0.17,292.0,0.42,107.0,-0.58,393.0,110.2
138,1628961,Kostas Antetokounmpo,0.05,198.0,0.03,235.0,0.03,216.0,110.2
139,1628963,Marvin Bagley III,-0.98,412.0,-0.34,354.0,-0.64,405.0,110.2
140,1628964,Mo Bamba,0.52,108.0,0.48,92.0,0.04,212.0,110.2
141,1628966,Keita Bates-Diop,-1.53,449.0,-0.36,357.0,-1.16,460.0,110.2
142,1628969,Mikal Bridges,0.56,105.0,0.73,48.0,-0.18,304.0,110.2
143,1628970,Miles Bridges,-3.46,473.0,-1.93,471.0,-1.53,470.0,110.2
144,1628971,Bruce Brown,0.16,167.0,0.38,115.0,-0.22,315.0,110.2
145,1628972,Troy Brown Jr.,-0.03,239.0,-0.17,320.0,0.14,176.0,110.2
146,1628973,Jalen Brunson,1.41,29.0,0.76,46.0,0.65,64.0,110.2
147,1628975,Jevon Carter,0.57,102.0,0.68,55.0,-0.11,279.0,110.2
148,1628976,Wendell Carter Jr.,0.47,120.0,0.65,62.0,-0.18,305.0,110.2
149,1628977,Hamidou Diallo,0.42,129.0,0.73,49.0,-0.3,338.0,110.2
150,1628978,Donte DiVincenzo,3.23,1.0,2.26,1.0,0.97,28.0,110.2
151,1628980,Jacob Evans,-0.21,300.0,-0.15,310.0,-0.06,246.0,110.2
152,1628982,Melvin Frazier Jr.,-0.13,278.0,0.02,239.0,-0.15,294.0,110.2
153,1628983,Shai Gilgeous-Alexander,-0.13,277.0,-0.26,336.0,0.13,179.0,110.2
154,1628984,Devonte Graham,-0.08,260.0,-0.93,438.0,0.85,42.0,110.2
155,1628988,Aaron Holiday,0.78,76.0,0.52,88.0,0.26,140.0,110.2
156,1628989,Kevin Huerter,-1.18,431.0,-0.53,390.0,-0.66,412.0,110.2
157,1628990,Chandler Hutchison,-0.42,341.0,0.33,126.0,-0.75,417.0,110.2
158,1628991,Jaren Jackson Jr.,-1.34,444.0,-1.21,457.0,-0.13,291.0,110.2
159,1628993,Alize Johnson,0.1,183.0,-0.11,297.0,0.22,154.0,110.2
160,1628995,Kevin Knox,-1.6,455.0,-0.73,420.0,-0.86,434.0,110.2
161,1629001,DeAnthony Melton,1.49,26.0,0.47,95.0,1.02,26.0,110.2
162,1629002,Chimezie Metu,0.07,194.0,0.11,196.0,-0.04,237.0,110.2
163,1629003,Shake Milton,-0.25,311.0,0.14,177.0,-0.4,359.0,110.2
164,1629004,Svi Mykhailiuk,0.43,126.0,-0.02,256.0,0.45,97.0,110.2
165,1629006,Josh Okogie,-0.01,228.0,0.37,117.0,-0.37,353.0,110.2
166,1629010,Jerome Robinson,0.52,107.0,0.41,109.0,0.11,184.0,110.2
167,1629011,Mitchell Robinson,-0.42,343.0,-0.47,380.0,0.05,208.0,110.2
168,1629012,Collin Sexton,-1.55,451.0,-1.45,467.0,-0.09,269.0,110.2
169,1629013,Landry Shamet,-0.87,403.0,-0.43,368.0,-0.45,372.0,110.2
170,1629014,Anfernee Simons,-2.21,471.0,-1.55,470.0,-0.65,410.0,110.2
171,1629016,Omari Spellman,-0.63,376.0,-0.24,334.0,-0.39,356.0,110.2
172,1629017,Khyri Thomas,-0.07,254.0,0.06,218.0,-0.13,285.0,110.2
173,1629018,Gary Trent Jr.,0.02,212.0,-0.29,345.0,0.31,130.0,110.2
174,1629019,Allonzo Trier,-0.92,408.0,-0.38,360.0,-0.54,386.0,110.2
175,1629020,Jarred Vanderbilt,-0.02,235.0,-0.09,288.0,0.06,201.0,110.2
176,1629021,Moritz Wagner,0.11,182.0,-0.03,263.0,0.14,178.0,110.2
177,1629022,Lonnie Walker IV,0.77,77.0,0.8,41.0,-0.03,233.0,110.2
178,1629026,Kenrich Williams,0.01,217.0,0.14,180.0,-0.13,287.0,110.2
179,1629027,Trae Young,-1.02,418.0,-1.46,468.0,0.43,102.0,110.2
180,1629028,Deandre Ayton,0.32,140.0,0.45,98.0,-0.13,289.0,110.2
181,1629029,Luka Doncic,1.26,37.0,-0.44,373.0,1.7,6.0,110.2
182,1629033,Theo Pinson,-0.28,317.0,0.69,54.0,-0.96,449.0,110.2
183,1629057,Robert Williams III,-0.06,250.0,-0.5,383.0,0.44,100.0,110.2
184,1629058,Dzanan Musa,-0.8,396.0,-0.03,264.0,-0.77,422.0,110.2
185,1629059,Elie Okobo,0.4,132.0,-0.31,348.0,0.71,56.0,110.2
186,1629066,Rodions Kurucs,-0.34,329.0,0.61,72.0,-0.95,446.0,110.2
187,1629067,Isaac Bonga,-0.28,320.0,-0.04,267.0,-0.25,326.0,110.2
188,1629109,Gary Clark,-0.29,321.0,-0.48,381.0,0.19,165.0,110.2
189,1629117,Wenyen Gabriel,-0.16,289.0,0.03,231.0,-0.19,308.0,110.2
190,1629126,Deonte Burton,-0.31,324.0,0.09,204.0,-0.41,361.0,110.2
191,1629130,Duncan Robinson,1.13,44.0,0.19,166.0,0.95,34.0,110.2
192,1629133,Daryl Macon,-0.02,236.0,0.17,171.0,-0.2,309.0,110.2
193,1629139,Yuta Watanabe,0.17,165.0,0.12,190.0,0.05,207.0,110.2
194,1629140,Johnathan Williams,-0.43,348.0,-0.18,325.0,-0.25,330.0,110.2
195,1629151,Ryan Broekhoff,-0.09,265.0,-0.01,254.0,-0.08,254.0,110.2
196,1629164,Brandon Goodwin,-0.2,298.0,0.25,141.0,-0.46,373.0,110.2
197,1629168,BJ Johnson,-0.12,272.0,-0.01,247.0,-0.11,281.0,110.2
198,1629185,Chris Chiozza,0.98,58.0,1.23,13.0,-0.25,328.0,110.2
199,1629234,Drew Eubanks,-0.52,359.0,-0.35,356.0,-0.17,299.0,110.2
200,1713,Vince Carter,-0.26,313.0,0.23,147.0,-0.49,378.0,110.2
201,200746,LaMarcus Aldridge,-1.04,419.0,-0.5,384.0,-0.54,387.0,110.2
202,200752,Rudy Gay,0.47,119.0,0.84,36.0,-0.37,354.0,110.2
203,200755,JJ Redick,-0.27,316.0,-1.08,448.0,0.8,48.0,110.2
204,200757,Thabo Sefolosha,-0.72,389.0,-0.49,382.0,-0.24,321.0,110.2
205,200765,Rajon Rondo,0.31,144.0,0.1,200.0,0.21,158.0,110.2
206,200768,Kyle Lowry,0.42,130.0,0.48,93.0,-0.05,244.0,110.2
207,200782,PJ Tucker,0.32,143.0,-0.09,286.0,0.41,106.0,110.2
208,200794,Paul Millsap,2.08,14.0,1.39,7.0,0.69,58.0,110.2
209,200826,J.J. Barea,0.34,136.0,0.09,203.0,0.25,146.0,110.2
210,201143,Al Horford,1.07,48.0,1.12,22.0,-0.05,242.0,110.2
211,201144,Mike Conley,-0.28,318.0,0.09,206.0,-0.37,352.0,110.2
212,201145,Jeff Green,-1.73,463.0,-0.58,398.0,-1.15,459.0,110.2
213,201152,Thaddeus Young,-0.14,283.0,1.22,14.0,-1.36,468.0,110.2
214,201158,Marco Belinelli,0.46,121.0,-0.1,295.0,0.57,78.0,110.2
215,201162,Jared Dudley,-0.46,351.0,0.33,127.0,-0.79,427.0,110.2
216,201163,Wilson Chandler,-0.93,410.0,-0.03,266.0,-0.9,438.0,110.2
217,201188,Marc Gasol,2.12,11.0,1.59,6.0,0.53,82.0,110.2
218,201229,Anthony Tolliver,-1.41,446.0,-0.95,441.0,-0.47,375.0,110.2
219,201565,Derrick Rose,0.16,169.0,-1.19,455.0,1.35,13.0,110.2
220,201566,Russell Westbrook,-0.12,273.0,0.47,96.0,-0.59,396.0,110.2
221,201567,Kevin Love,-1.69,462.0,-1.08,449.0,-0.61,399.0,110.2
222,201568,Danilo Gallinari,0.13,177.0,-1.11,453.0,1.24,18.0,110.2
223,201569,Eric Gordon,-1.4,445.0,-1.09,450.0,-0.31,341.0,110.2
224,201571,D.J. Augustin,0.43,128.0,0.87,35.0,-0.44,371.0,110.2
225,201572,Brook Lopez,1.59,22.0,0.93,30.0,0.66,62.0,110.2
226,201577,Robin Lopez,0.09,189.0,0.1,202.0,-0.01,227.0,110.2
227,201580,JaVale McGee,0.56,103.0,0.22,153.0,0.34,119.0,110.2
228,201583,Ryan Anderson,0.15,173.0,0.03,232.0,0.12,182.0,110.2
229,201584,Courtney Lee,0.05,200.0,-0.28,341.0,0.33,124.0,110.2
230,201586,Serge Ibaka,-0.88,404.0,-0.27,338.0,-0.61,401.0,110.2
231,201587,Nicolas Batum,-0.09,266.0,-0.69,407.0,0.6,72.0,110.2
232,201588,George Hill,1.05,51.0,0.21,155.0,0.84,44.0,110.2
233,201599,DeAndre Jordan,-0.96,411.0,0.39,110.0,-1.35,467.0,110.2
234,201609,Goran Dragic,-0.21,302.0,-0.86,435.0,0.65,65.0,110.2
235,201933,Blake Griffin,-0.18,294.0,-0.41,364.0,0.23,153.0,110.2
236,201935,James Harden,2.27,8.0,0.33,125.0,1.93,3.0,110.2
