,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank
0,101107,Marvin Williams,-0.08,260.0,-0.87,436.0,0.79,47.0
1,101108,Chris Paul,0.82,76.0,-0.1,296.0,0.92,37.0
2,101133,Ian Mahinmi,0.15,170.0,0.02,237.0,0.13,178.0
3,101139,CJ Miles,-0.08,258.0,-0.34,355.0,0.27,136.0
4,101141,Ersan Ilyasova,1.06,54.0,0.3,134.0,0.76,53.0
5,101150,Lou Williams,0.51,112.0,0.07,214.0,0.44,98.0
6,1626143,Jahlil Okafor,-0.81,396.0,-0.6,399.0,-0.21,315.0
7,1626144,Emmanuel Mudiay,-0.48,355.0,0.11,199.0,-0.59,396.0
8,1626145,Tyus Jones,-0.78,392.0,-0.84,433.0,0.06,204.0
9,1626149,Montrezl Harrell,2.22,10.0,1.03,24.0,1.18,19.0
10,1626153,Delon Wright,0.72,87.0,0.29,139.0,0.43,101.0
11,1626156,DAngelo Russell,-1.16,429.0,-0.74,420.0,-0.41,365.0
12,1626157,Karl-Anthony Towns,0.61,97.0,-1.24,459.0,1.85,4.0
13,1626158,Richaun Holmes,1.1,45.0,0.28,140.0,0.81,45.0
14,1626159,Justise Winslow,0.78,79.0,0.92,31.0,-0.14,289.0
15,1626161,Willie Cauley-Stein,-0.35,334.0,0.31,131.0,-0.66,411.0
16,1626162,Kelly Oubre Jr.,-0.5,358.0,-0.7,413.0,0.21,155.0
17,1626163,Frank Kaminsky,-0.67,383.0,-0.27,338.0,-0.41,362.0
18,1626164,Devin Booker,-0.03,239.0,-1.44,466.0,1.41,11.0
19,1626167,Myles Turner,0.02,212.0,0.14,184.0,-0.12,279.0
20,1626168,Trey Lyles,-0.16,288.0,-0.51,387.0,0.35,116.0
21,1626169,Stanley Johnson,-0.08,257.0,0.13,191.0,-0.2,311.0
22,1626171,Bobby Portis,-1.2,432.0,-0.66,407.0,-0.53,388.0
23,1626172,Kevon Looney,-0.99,415.0,-0.11,299.0,-0.88,438.0
24,1626174,Christian Wood,1.74,20.0,0.72,49.0,1.02,27.0
25,1626178,Rondae Hollis-Jefferson,0.39,132.0,0.23,149.0,0.16,168.0
26,1626179,Terry Rozier,-2.02,468.0,-0.94,439.0,-1.08,454.0
27,1626181,Norman Powell,-0.04,244.0,0.55,80.0,-0.6,399.0
28,1626188,Quinn Cook,0.66,94.0,0.2,162.0,0.46,92.0
29,1626192,Pat Connaughton,0.73,86.0,0.01,240.0,0.71,56.0
30,1626195,Willy Hernangomez,-0.55,366.0,-0.25,333.0,-0.3,339.0
31,1626196,Josh Richardson,0.67,93.0,0.56,78.0,0.11,184.0
32,1626203,Treveon Graham,-1.22,434.0,-0.08,283.0,-1.14,457.0
33,1626204,Larry Nance Jr.,-0.76,391.0,-0.53,391.0,-0.23,322.0
34,1626209,Mario Hezonja,-0.69,386.0,0.08,211.0,-0.77,421.0
35,1626220,Royce ONeale,1.59,23.0,1.01,26.0,0.58,75.0
36,1626224,Cedi Osman,0.05,200.0,0.21,158.0,-0.16,293.0
37,1626246,Boban Marjanovic,0.99,58.0,0.15,181.0,0.84,41.0
38,1626259,Malcolm Miller,0.75,83.0,0.26,143.0,0.5,89.0
39,1627732,Ben Simmons,0.78,80.0,0.19,165.0,0.59,74.0
40,1627733,Dragan Bender,0.32,140.0,0.06,220.0,0.26,140.0
41,1627734,Domantas Sabonis,1.67,22.0,1.12,21.0,0.54,83.0
42,1627736,Malik Beasley,0.26,152.0,-0.11,298.0,0.37,112.0
43,1627737,Marquese Chriss,-1.05,419.0,-0.77,424.0,-0.29,337.0
44,1627739,Kris Dunn,0.15,169.0,1.3,10.0,-1.14,459.0
45,1627740,Henry Ellenson,0.2,157.0,0.27,141.0,-0.08,255.0
46,1627741,Buddy Hield,-0.46,352.0,-0.75,421.0,0.28,134.0
47,1627742,Brandon Ingram,-0.42,343.0,-0.75,422.0,0.33,119.0
48,1627745,Damian Jones,-1.56,454.0,-1.25,460.0,-0.31,343.0
49,1627746,Skal Labissiere,0.71,89.0,0.21,159.0,0.5,88.0
50,1627747,Caris LeVert,0.09,190.0,-0.15,310.0,0.24,149.0
51,1627748,Thon Maker,-0.91,409.0,-1.0,443.0,0.09,193.0
52,1627749,Dejounte Murray,-0.38,339.0,-0.52,388.0,0.14,175.0
53,1627750,Jamal Murray,1.16,43.0,0.56,79.0,0.6,73.0
54,1627751,Jakob Poeltl,1.26,37.0,-0.02,261.0,1.28,14.0
55,1627752,Taurean Prince,0.69,90.0,0.12,194.0,0.57,79.0
56,1627756,Denzel Valentine,0.38,133.0,0.92,32.0,-0.54,389.0
57,1627759,Jaylen Brown,1.96,14.0,0.55,81.0,1.41,12.0
