,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank
241,201950,Jrue Holiday,-0.13,279.0,-0.45,378.0,0.32,124.0
242,201952,Jeff Teague,-0.19,297.0,-0.71,414.0,0.52,84.0
243,201959,Taj Gibson,-1.69,462.0,-0.74,421.0,-0.95,447.0
244,201960,DeMarre Carroll,0.17,163.0,0.06,216.0,0.11,186.0
245,201961,Wayne Ellington,-0.06,252.0,0.32,129.0,-0.38,357.0
246,201976,Patrick Beverley,1.58,24.0,1.16,17.0,0.42,100.0
247,201980,Danny Green,1.08,50.0,0.3,131.0,0.78,53.0
248,201988,Patty Mills,1.06,53.0,0.23,151.0,0.83,46.0
249,202066,Garrett Temple,-0.48,353.0,0.23,150.0,-0.71,417.0
250,202083,Wesley Matthews,2.24,9.0,1.21,14.0,1.03,26.0
251,202323,Evan Turner,-0.6,375.0,0.3,132.0,-0.9,439.0
252,202324,Derrick Favors,-0.05,247.0,-0.18,326.0,0.13,181.0
253,202329,Al-Farouq Aminu,-0.64,378.0,0.62,68.0,-1.26,464.0
254,202330,Gordon Hayward,0.85,71.0,0.11,195.0,0.74,55.0
255,202331,Paul George,1.12,46.0,0.26,142.0,0.86,43.0
256,202334,Ed Davis,-0.83,399.0,0.02,238.0,-0.85,432.0
257,202335,Patrick Patterson,0.5,113.0,0.61,71.0,-0.11,274.0
258,202339,Eric Bledsoe,1.57,25.0,0.87,35.0,0.7,58.0
259,202340,Avery Bradley,0.01,218.0,0.38,114.0,-0.38,356.0
260,202355,Hassan Whiteside,-0.04,239.0,-0.42,370.0,0.38,109.0
261,202357,Nemanja Bjelica,-0.55,368.0,-0.69,410.0,0.14,178.0
262,202397,Ish Smith,-0.97,411.0,-1.24,461.0,0.28,135.0
263,202681,Kyrie Irving,-0.26,316.0,-0.63,403.0,0.36,114.0
264,202683,Enes Kanter,1.23,38.0,0.36,118.0,0.87,42.0
265,202684,Tristan Thompson,-0.6,374.0,0.01,245.0,-0.6,398.0
266,202685,Jonas Valanciunas,0.18,160.0,0.48,92.0,-0.3,339.0
267,202687,Bismack Biyombo,-0.55,367.0,-0.0,247.0,-0.55,388.0
268,202688,Brandon Knight,-0.34,332.0,-0.28,341.0,-0.07,246.0
269,202689,Kemba Walker,1.99,15.0,-0.22,332.0,2.21,2.0
270,202692,Alec Burks,-1.27,439.0,-0.53,390.0,-0.74,418.0
271,202693,Markieff Morris,-1.57,455.0,-0.62,402.0,-0.96,448.0
272,202694,Marcus Morris,-0.67,383.0,-0.91,437.0,0.24,146.0
273,202695,Kawhi Leonard,2.82,3.0,1.65,3.0,1.17,20.0
274,202696,Nikola Vucevic,0.9,68.0,0.7,54.0,0.21,160.0
275,202697,Iman Shumpert,-0.93,407.0,-0.28,344.0,-0.65,404.0
276,202699,Tobias Harris,0.93,67.0,0.73,48.0,0.21,159.0
277,202704,Reggie Jackson,-0.03,235.0,0.21,156.0,-0.25,324.0
278,202709,Cory Joseph,-0.47,350.0,-0.36,358.0,-0.11,268.0
279,202710,Jimmy Butler,2.22,10.0,1.15,18.0,1.07,24.0
280,202711,Bojan Bogdanovic,1.94,16.0,0.46,98.0,1.48,8.0
281,202718,Chandler Parsons,-0.8,396.0,-0.38,362.0,-0.42,366.0
282,202722,Davis Bertans,1.09,47.0,-0.73,420.0,1.82,5.0
283,202734,ETwaun Moore,0.21,155.0,0.22,152.0,-0.01,226.0
284,202738,Isaiah Thomas,-0.77,393.0,-1.43,466.0,0.67,63.0
285,202954,Brad Wanamaker,1.08,51.0,1.42,6.0,-0.34,347.0
286,203076,Anthony Davis,1.02,56.0,0.7,53.0,0.32,123.0
287,203077,Michael Kidd-Gilchrist,0.51,110.0,0.42,107.0,0.1,192.0
288,203078,Bradley Beal,-1.72,463.0,-2.7,473.0,0.98,30.0
289,203081,Damian Lillard,0.78,76.0,-0.17,323.0,0.95,34.0
290,203082,Terrence Ross,-0.75,392.0,-0.1,293.0,-0.66,408.0
291,203083,Andre Drummond,-0.3,324.0,-0.23,336.0,-0.07,248.0
292,203084,Harrison Barnes,-0.07,257.0,0.05,223.0,-0.12,279.0
293,203085,Austin Rivers,0.18,159.0,-0.78,430.0,0.97,32.0
294,203086,Meyers Leonard,0.42,128.0,0.57,81.0,-0.14,292.0
295,203087,Jeremy Lamb,0.33,138.0,-0.06,273.0,0.39,108.0
296,203089,John Henson,0.15,169.0,-0.05,268.0,0.2,164.0
297,203090,Maurice Harkless,-0.57,372.0,-0.13,305.0,-0.44,371.0
298,203095,Evan Fournier,-0.06,250.0,-0.15,312.0,0.1,193.0
299,203107,Tomas Satoransky,0.13,177.0,0.21,159.0,-0.08,254.0
300,203109,Jae Crowder,-1.13,427.0,-1.16,454.0,0.04,213.0
301,203110,Draymond Green,-0.81,398.0,-0.06,270.0,-0.75,420.0
302,203114,Khris Middleton,2.29,7.0,1.23,11.0,1.06,25.0
303,203115,Will Barton,1.53,26.0,1.11,21.0,0.42,101.0
304,203118,Mike Scott,1.36,30.0,0.66,57.0,0.7,60.0
305,203124,Kyle OQuinn,-1.06,422.0,-0.95,441.0,-0.12,277.0
306,203145,Kent Bazemore,-0.67,384.0,0.17,172.0,-0.84,429.0
307,203200,Justin Holiday,0.23,153.0,0.32,128.0,-0.09,260.0
308,203210,JaMychal Green,0.58,100.0,0.49,91.0,0.09,196.0
309,203382,Aron Baynes,-0.02,228.0,-0.61,401.0,0.59,70.0
310,203457,Nerlens Noel,-0.34,333.0,-0.17,325.0,-0.17,298.0
311,203458,Alex Len,-1.3,443.0,-0.68,407.0,-0.61,400.0
312,203459,Allen Crabbe,-1.66,460.0,-0.77,427.0,-0.89,438.0
313,203463,Ben McLemore,2.32,5.0,-0.09,291.0,2.41,1.0
314,203468,CJ McCollum,1.09,48.0,-0.16,319.0,1.25,17.0
315,203469,Cody Zeller,-1.59,457.0,-1.23,458.0,-0.36,352.0
316,203471,Dennis Schroder,1.41,28.0,1.39,7.0,0.02,218.0
317,203473,Dewayne Dedmon,-0.74,391.0,0.05,221.0,-0.79,426.0
318,203476,Gorgui Dieng,-1.23,435.0,0.65,61.0,-1.87,473.0
319,203482,Kelly Olynyk,-0.11,267.0,-0.08,283.0,-0.03,232.0
320,203484,Kentavious Caldwell-Pope,0.63,95.0,-0.33,351.0,0.97,31.0
321,203486,Mason Plumlee,0.22,154.0,0.56,83.0,-0.34,348.0
322,203487,Michael Carter-Williams,0.1,183.0,-0.14,309.0,0.25,143.0
323,203488,Mike Muscala,-0.14,282.0,0.64,62.0,-0.78,424.0
324,203490,Otto Porter Jr.,0.14,173.0,-0.21,330.0,0.36,116.0
325,203496,Robert Covington,-0.54,365.0,-0.71,412.0,0.16,170.0
326,203497,Rudy Gobert,1.07,52.0,0.79,41.0,0.27,136.0
327,203500,Steven Adams,0.51,111.0,0.11,194.0,0.4,106.0
328,203501,Tim Hardaway Jr.,1.19,39.0,0.11,196.0,1.08,23.0
329,203503,Tony Snell,-1.54,452.0,-1.03,446.0,-0.51,384.0
330,203504,Trey Burke,0.76,82.0,0.3,130.0,0.45,96.0
331,203507,Giannis Antetokounmpo,2.84,2.0,1.73,2.0,1.11,21.0
332,203516,James Ennis III,0.55,107.0,-0.44,375.0,0.99,29.0
333,203521,Matthew Dellavedova,0.05,199.0,0.57,80.0,-0.52,385.0
334,203524,Solomon Hill,0.12,180.0,-0.71,413.0,0.82,47.0
335,203526,Raul Neto,-0.18,296.0,0.48,93.0,-0.66,410.0
336,203552,Seth Curry,0.66,91.0,0.1,200.0,0.56,78.0
337,203584,Troy Daniels,0.09,187.0,0.17,171.0,-0.08,252.0
338,203585,Rodney McGruder,0.66,93.0,-0.16,317.0,0.82,50.0
339,203648,Thanasis Antetokounmpo,-0.24,310.0,-0.28,342.0,0.04,211.0
340,203705,Josh Magette,-0.09,260.0,-0.01,249.0,-0.08,257.0
341,203894,Shabazz Napier,-0.49,355.0,0.6,74.0,-1.09,455.0
342,203895,Jordan McRae,-0.22,305.0,-0.35,355.0,0.13,180.0
343,203897,Zach LaVine,-1.16,430.0,-0.53,393.0,-0.63,401.0
344,203901,Elfrid Payton,0.2,157.0,0.01,242.0,0.19,165.0
345,203903,Jordan Clarkson,-0.51,358.0,-0.88,436.0,0.38,111.0
346,203914,Gary Harris,0.9,70.0,0.55,84.0,0.35,117.0
347,203915,Spencer Dinwiddie,0.34,135.0,-0.48,384.0,0.82,49.0
348,203918,Rodney Hood,0.37,133.0,-0.29,346.0,0.66,64.0
349,203920,Khem Birch,-1.6,458.0,-0.33,349.0,-1.27,466.0
350,203922,Glenn Robinson III,-1.83,465.0,-1.21,457.0,-0.61,399.0
351,203924,Jerami Grant,-1.22,434.0,-0.77,426.0,-0.45,374.0
352,203925,Joe Harris,0.14,175.0,0.09,207.0,0.05,210.0
353,203926,Doug McDermott,0.03,206.0,0.25,144.0,-0.22,318.0
354,203932,Aaron Gordon,-0.46,347.0,-0.13,303.0,-0.33,344.0
355,203933,T.J. Warren,0.45,122.0,0.6,72.0,-0.15,296.0
356,203935,Marcus Smart,-0.11,268.0,0.78,43.0,-0.89,436.0
357,203937,Kyle Anderson,-1.13,428.0,-0.72,418.0,-0.41,364.0
358,203939,Dwight Powell,1.85,19.0,0.43,103.0,1.41,12.0
359,203943,Noah Vonleh,-0.37,338.0,0.65,60.0,-1.02,452.0
360,203944,Julius Randle,-0.11,269.0,0.56,82.0,-0.67,413.0
361,203952,Andrew Wiggins,-0.1,264.0,-0.56,397.0,0.47,94.0
362,203953,Jabari Parker,-0.07,256.0,-1.51,469.0,1.44,10.0
363,203954,Joel Embiid,1.27,35.0,1.36,9.0,-0.09,261.0
364,203957,Dante Exum,-0.55,370.0,0.36,116.0,-0.92,441.0
365,203960,JaKarr Sampson,-0.29,320.0,-0.07,274.0,-0.22,316.0
366,203967,Dario Saric,0.15,170.0,0.05,222.0,0.1,191.0
367,203991,Clint Capela,0.56,103.0,0.39,110.0,0.17,169.0
368,203992,Bogdan Bogdanovic,-0.5,357.0,-0.17,324.0,-0.33,345.0
369,203998,Bruno Caboclo,-0.02,227.0,0.42,108.0,-0.43,368.0
370,203999,Nikola Jokic,1.28,34.0,0.66,56.0,0.62,67.0
371,204001,Kristaps Porzingis,1.0,59.0,0.34,121.0,0.66,65.0
372,204020,Tyler Johnson,-1.11,425.0,0.04,227.0,-1.15,461.0
373,204025,Tim Frazier,-0.23,308.0,-0.02,260.0,-0.21,314.0
374,204038,Langston Galloway,-0.25,313.0,-1.35,463.0,1.1,22.0
375,204060,Joe Ingles,0.57,102.0,0.92,30.0,-0.35,349.0
376,204456,T.J. McConnell,-0.05,246.0,0.2,162.0,-0.25,325.0
377,2199,Tyson Chandler,0.34,136.0,0.18,166.0,0.16,171.0
378,2544,LeBron James,2.45,4.0,1.17,15.0,1.27,15.0
379,2546,Carmelo Anthony,0.77,79.0,0.39,111.0,0.38,110.0
380,2594,Kyle Korver,0.26,149.0,-0.01,256.0,0.28,134.0
381,2617,Udonis Haslem,-0.08,259.0,-0.08,284.0,0.0,224.0
382,2730,Dwight Howard,0.49,114.0,-0.08,285.0,0.57,74.0
383,2772,Trevor Ariza,-1.23,436.0,0.04,228.0,-1.27,465.0
