,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank
0,101107,Marvin Williams,-0.07,256.0,-0.86,436.0,0.78,51.0
1,101108,Chris Paul,0.82,73.0,-0.1,295.0,0.92,36.0
2,101133,Ian Mahinmi,0.15,169.0,0.02,237.0,0.13,180.0
3,101139,CJ Miles,-0.12,272.0,-0.39,363.0,0.27,138.0
4,101141,Ersan Ilyasova,0.93,67.0,0.22,150.0,0.7,56.0
5,101150,Lou Williams,0.49,114.0,0.04,225.0,0.44,98.0
6,1626143,Jahlil Okafor,-0.81,398.0,-0.6,399.0,-0.21,313.0
7,1626144,Emmanuel Mudiay,-0.47,356.0,0.11,192.0,-0.59,394.0
8,1626145,Tyus Jones,-0.77,395.0,-0.83,433.0,0.06,204.0
9,1626149,Montrezl Harrell,2.14,10.0,1.01,28.0,1.14,21.0
10,1626153,Delon Wright,0.67,93.0,0.27,137.0,0.4,106.0
11,1626156,DAngelo Russell,-1.15,430.0,-0.74,421.0,-0.41,364.0
12,1626157,Karl-Anthony Towns,0.62,99.0,-1.24,459.0,1.86,4.0
13,1626158,Richaun Holmes,1.11,44.0,0.26,138.0,0.85,42.0
14,1626159,Justise Winslow,0.83,72.0,0.92,31.0,-0.09,263.0
15,1626161,Willie Cauley-Stein,-0.35,335.0,0.31,130.0,-0.66,413.0
16,1626162,Kelly Oubre Jr.,-0.35,334.0,-0.58,398.0,0.23,151.0
17,1626163,Frank Kaminsky,-0.66,381.0,-0.28,342.0,-0.38,357.0
18,1626164,Devin Booker,-0.0,223.0,-1.43,465.0,1.42,11.0
19,1626167,Myles Turner,0.0,221.0,0.12,188.0,-0.11,277.0
20,1626168,Trey Lyles,-0.17,290.0,-0.51,387.0,0.34,119.0
21,1626169,Stanley Johnson,-0.08,259.0,0.13,185.0,-0.2,312.0
22,1626171,Bobby Portis,-1.44,448.0,-0.79,431.0,-0.65,407.0
23,1626172,Kevon Looney,-0.99,414.0,-0.11,297.0,-0.88,435.0
24,1626174,Christian Wood,1.74,20.0,0.72,51.0,1.02,25.0
25,1626178,Rondae Hollis-Jefferson,0.31,142.0,0.21,156.0,0.1,187.0
