,playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank
0,101107,Marvin Williams,-0.09,262.0,-0.87,436.0,0.78,52.0
1,101108,Chris Paul,0.82,74.0,-0.1,294.0,0.92,37.0
2,101133,Ian Mahinmi,0.16,167.0,0.03,233.0,0.13,179.0
3,101139,CJ Miles,-0.17,296.0,-0.44,374.0,0.27,136.0
4,101141,Ersan Ilyasova,0.96,61.0,0.26,141.0,0.7,57.0
5,101150,Lou Williams,0.55,108.0,0.07,213.0,0.48,91.0
6,1626143,Jahlil Okafor,-0.81,397.0,-0.6,399.0,-0.21,314.0
7,1626144,Emmanuel Mudiay,-0.48,353.0,0.11,193.0,-0.59,395.0
8,1626145,Tyus Jones,-0.77,393.0,-0.83,433.0,0.06,203.0
9,1626149,Montrezl Harrell,2.2,10.0,1.03,24.0,1.17,18.0
10,1626153,Delon Wright,0.71,87.0,0.27,138.0,0.44,98.0
11,1626156,DAngelo Russell,-1.15,430.0,-0.74,419.0,-0.41,363.0
12,1626157,Karl-Anthony Towns,0.62,96.0,-1.24,457.0,1.86,4.0
13,1626158,Richaun Holmes,1.08,48.0,0.18,169.0,0.9,40.0
14,1626159,Justise Winslow,0.74,84.0,0.92,32.0,-0.18,305.0
15,1626161,Willie Cauley-Stein,-0.35,335.0,0.31,130.0,-0.66,409.0
16,1626162,Kelly Oubre Jr.,-0.41,339.0,-0.64,404.0,0.23,151.0
17,1626163,Frank Kaminsky,-0.71,387.0,-0.33,349.0,-0.38,357.0
18,1626164,Devin Booker,0.05,200.0,-1.38,464.0,1.42,11.0
19,1626167,Myles Turner,0.02,211.0,0.1,201.0,-0.08,258.0
20,1626168,Trey Lyles,-0.17,292.0,-0.51,387.0,0.34,119.0
21,1626169,Stanley Johnson,-0.08,258.0,0.13,186.0,-0.2,313.0
22,1626171,Bobby Portis,-1.41,445.0,-0.75,423.0,-0.66,413.0
23,1626172,Kevon Looney,-0.99,414.0,-0.11,297.0,-0.88,434.0
24,1626174,Christian Wood,1.74,20.0,0.72,50.0,1.02,26.0
25,1626178,Rondae Hollis-Jefferson,0.31,144.0,0.21,153.0,0.11,183.0
26,1626179,Terry Rozier,-2.0,468.0,-0.94,439.0,-1.06,454.0
27,1626181,Norman Powell,-0.04,242.0,0.56,82.0,-0.61,398.0
28,1626188,Quinn Cook,0.66,92.0,0.2,159.0,0.46,95.0
29,1626192,Pat Connaughton,0.73,86.0,-0.03,264.0,0.76,55.0
30,1626195,Willy Hernangomez,-0.55,366.0,-0.25,335.0,-0.31,340.0
31,1626196,Josh Richardson,0.77,79.0,0.52,89.0,0.25,143.0
32,1626203,Treveon Graham,-1.22,434.0,-0.08,280.0,-1.14,456.0
33,1626204,Larry Nance Jr.,-0.69,384.0,-0.51,388.0,-0.18,303.0
34,1626209,Mario Hezonja,-0.7,385.0,0.07,211.0,-0.77,422.0
35,1626220,Royce ONeale,1.59,23.0,1.01,27.0,0.58,72.0
36,1626224,Cedi Osman,-0.01,230.0,0.16,175.0,-0.17,300.0
37,1626246,Boban Marjanovic,0.98,58.0,0.14,179.0,0.84,46.0
38,1626259,Malcolm Miller,0.75,81.0,0.25,144.0,0.5,87.0
39,1627732,Ben Simmons,0.7,89.0,0.2,155.0,0.49,88.0
40,1627733,Dragan Bender,0.32,140.0,0.06,219.0,0.26,141.0
41,1627734,Domantas Sabonis,1.63,22.0,1.14,20.0,0.49,90.0
42,1627736,Malik Beasley,0.27,151.0,-0.14,307.0,0.42,103.0
43,1627737,Marquese Chriss,-1.05,421.0,-0.77,427.0,-0.28,336.0
44,1627739,Kris Dunn,0.15,170.0,1.3,10.0,-1.15,458.0
45,1627740,Henry Ellenson,0.2,158.0,0.27,137.0,-0.08,256.0
46,1627741,Buddy Hield,-0.48,355.0,-0.69,409.0,0.21,155.0
47,1627742,Brandon Ingram,-0.41,340.0,-0.75,422.0,0.34,121.0
48,1627745,Damian Jones,-1.55,452.0,-1.25,460.0,-0.31,342.0
49,1627746,Skal Labissiere,0.71,88.0,0.21,154.0,0.5,85.0
50,1627747,Caris LeVert,0.09,189.0,-0.15,308.0,0.23,150.0
51,1627748,Thon Maker,-0.92,407.0,-1.0,443.0,0.08,198.0
52,1627749,Dejounte Murray,-0.34,332.0,-0.51,389.0,0.18,167.0
53,1627750,Jamal Murray,1.16,43.0,0.59,77.0,0.57,73.0
54,1627751,Jakob Poeltl,1.26,38.0,-0.01,254.0,1.27,15.0
55,1627752,Taurean Prince,0.74,82.0,0.16,177.0,0.59,71.0
56,1627756,Denzel Valentine,0.38,134.0,0.92,33.0,-0.54,385.0
57,1627759,Jaylen Brown,1.09,45.0,0.12,188.0,0.97,31.0
58,1627761,DeAndre Bembry,-2.11,470.0,-0.53,393.0,-1.58,471.0
59,1627763,Malcolm Brogdon,0.39,132.0,0.04,226.0,0.35,117.0
60,1627767,Cheick Diallo,0.01,217.0,-0.28,342.0,0.29,132.0
61,1627774,Jake Layman,0.61,99.0,0.83,39.0,-0.22,317.0
62,1627775,Patrick McCaw,-0.92,408.0,-0.02,259.0,-0.9,437.0
63,1627777,Georges Niang,-1.94,467.0,-0.75,424.0,-1.18,462.0
64,1627780,Gary Payton II,0.02,212.0,-0.01,246.0,0.03,214.0
65,1627783,Pascal Siakam,1.89,18.0,1.0,28.0,0.89,41.0
66,1627788,Furkan Korkmaz,0.98,59.0,0.61,72.0,0.38,114.0
67,1627789,Timothe Luwawu-Cabarrot,-0.33,328.0,0.62,68.0,-0.95,448.0
68,1627790,Ante Zizic,-0.06,251.0,-0.47,380.0,0.4,105.0
69,1627812,Yogi Ferrell,-0.22,305.0,0.33,126.0,-0.55,388.0
70,1627814,Damion Lee,0.69,90.0,0.44,103.0,0.24,147.0
71,1627820,Tyrone Wallace,-0.19,298.0,0.25,145.0,-0.44,371.0
72,1627823,Juancho Hernangomez,0.52,109.0,0.68,56.0,-0.15,292.0
73,1627826,Ivica Zubac,0.48,117.0,0.72,51.0,-0.24,322.0
74,1627827,Dorian Finney-Smith,1.4,32.0,-0.14,306.0,1.54,7.0
75,1627832,Fred VanVleet,0.58,102.0,0.56,83.0,0.02,221.0
76,1627846,Abdel Nader,-0.47,352.0,0.34,123.0,-0.81,428.0
77,1627853,Ryan Arcidiacono,-0.0,226.0,0.65,62.0,-0.66,412.0
