PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED
Jalen McDaniels,Hornets,12 February 2021,14 February 2021,2
Kevin Durant,Nets,06 February 2021,13 February 2021,7
Tyler Herro,Heat,11 February 2021,12 February 2021,1
Dennis Smith Jr.,Pistons,09 February 2021,11 February 2021,2
Adam Mokoka,Bulls,05 February 2021,08 February 2021,3
Grayson Allen,Grizzlies,29 January 2021,06 February 2021,8
Jonas Valanciunas,Grizzlies,17 January 2021,05 February 2021,19
Juancho Hernangomez,Timberwolves,14 January 2021,01 February 2021,18
Maxi Kleber,Mavericks,10 January 2021,01 February 2021,22
Norvel Pelle,Nets,29 January 2021,31 January 2021,2
Damian Jones,Suns,17 January 2021,30 January 2021,13
Deni Avdija,Wizards,24 January 2021,30 January 2021,6
Ish Smith,Wizards,24 January 2021,30 January 2021,6
Jimmy Butler,Heat,16 January 2021,30 January 2021,14
Trent Forrest,Jazz,23 January 2021,30 January 2021,7
Troy Brown Jr.,Wizards,24 January 2021,30 January 2021,6
Kawhi Leonard,Clippers,25 January 2021,29 January 2021,4
Paul George,Clippers,25 January 2021,29 January 2021,4
Davis Bertans,Wizards,24 January 2021,28 January 2021,4
Moritz Wagner,Wizards,12 January 2021,28 January 2021,16
Rui Hachimura,Wizards,24 January 2021,28 January 2021,4
Avery Bradley,Heat,16 January 2021,27 January 2021,11
Dorian Finney-Smith,Mavericks,08 January 2021,27 January 2021,19
Dwight Powell,Mavericks,12 January 2021,27 January 2021,15
Grant Riller,Hornets,24 January 2021,27 January 2021,3
Josh Richardson,Mavericks,08 January 2021,27 January 2021,19
Jayson Tatum,Celtics,15 January 2021,25 January 2021,10
Devon Dotson,Bulls,22 January 2021,23 January 2021,1
Mo Bamba,Magic,14 January 2021,23 January 2021,9
Chandler Hutchison,Bulls,31 December 2020,22 January 2021,22
Jalen Smith,Suns,07 January 2021,22 January 2021,15
Michael Porter Jr.,Nuggets,01 January 2021,22 January 2021,21
Ricky Rubio,Timberwolves,18 January 2021,22 January 2021,4
Juwan Morgan,Jazz,05 January 2021,19 January 2021,14
Devon Dotson,Bulls,14 January 2021,18 January 2021,4
