PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,SEASON,SEASON_TYPE
1628389,"Bam Adebayo",1610612748,MIA,22,31,23,8,0.742,1058.59,181,316,0.573,1,9,0.111,126,183,0.689,82,252,334,145,89,45,39,26,81,159,489,146,1270.3,19,2,2019-20,"Regular Season"
1628390,"Terrance Ferguson",1610612760,OKC,21,25,13,12,0.52,663.337,47,117,0.402,31,90,0.344,7,9,0.778,16,33,49,25,19,14,6,2,85,21,132,-53,269.3,0,0,2019-20,"Regular Season"
1628391,"D.J. Wilson",1610612749,MIL,23,17,16,1,0.941,194.747,31,66,0.47,11,39,0.282,2,3,0.667,6,35,41,14,11,0,2,1,17,8,75,0,140.2,0,0,2019-20,"Regular Season"
1628392,"Isaiah Hartenstein",1610612745,HOU,21,9,7,2,0.778,103.072,11,16,0.688,0,1,0,9,11,0.818,8,18,26,5,6,3,4,1,17,10,31,33,84.7,0,0,2019-20,"Regular Season"
1628394,"Anzejs Pasecniks",1610612764,WAS,24,5,1,4,0.2,107.222,20,34,0.588,0,0,0,11,17,0.647,10,13,23,4,3,2,0,0,14,16,51,-10,87.6,0,0,2019-20,"Regular Season"
1628395,"Jordan Bell",1610612750,MIN,24,18,4,14,0.222,181.347,24,45,0.533,0,5,0,16,25,0.64,22,39,61,12,15,2,9,3,13,19,64,-22,173.2,0,0,2019-20,"Regular Season"
1628396,"Tony Bradley",1610612762,UTA,21,20,11,9,0.55,169.672,34,55,0.618,0,0,0,11,16,0.688,25,40,65,5,10,2,8,8,33,9,79,-23,184.5,0,0,2019-20,"Regular Season"
1628398,"Kyle Kuzma",1610612747,LAL,24,22,18,4,0.818,510.53,96,219,0.438,37,102,0.363,33,47,0.702,11,65,76,17,37,8,10,8,36,31,262,74,395.7,0,0,2019-20,"Regular Season"
1628400,"Semi Ojeleye",1610612738,BOS,25,29,22,7,0.759,433.713,26,67,0.388,15,42,0.357,7,10,0.7,10,46,56,14,6,11,2,6,35,18,74,0,195.2,0,0,2019-20,"Regular Season"
1628401,"Derrick White",1610612759,SAS,25,28,12,16,0.429,664.568,100,208,0.481,27,65,0.415,51,64,0.797,12,65,77,87,35,16,17,14,61,64,278,-25,564.9,0,0,2019-20,"Regular Season"
1628402,"Frank Jackson",1610612740,NOP,21,25,7,18,0.28,340.598,53,144,0.368,20,68,0.294,26,32,0.813,5,27,32,22,23,9,1,9,36,24,152,-88,230.4,0,0,2019-20,"Regular Season"
1628403,"Caleb Swanigan",1610612758,SAC,22,5,2,3,0.4,13.1333,1,2,0.5,0,0,0,1,2,0.5,1,4,5,0,4,1,2,0,3,1,3,5,14,0,0,2019-20,"Regular Season"
1628404,"Josh Hart",1610612740,NOP,24,25,5,20,0.2,694.548,95,227,0.419,58,157,0.369,35,43,0.814,23,127,150,35,33,24,7,11,67,37,283,-83,575.5,3,0,2019-20,"Regular Season"
1628405,"Johnathan Motley",1610612746,LAC,24,4,3,1,0.75,10.535,1,3,0.333,1,1,1,0,0,0,1,1,2,3,3,3,0,1,3,0,3,-2,15.9,0,0,2019-20,"Regular Season"
1628407,"Dwayne Bacon",1610612766,CHA,24,24,6,18,0.25,407.037,50,162,0.309,10,45,0.222,24,35,0.686,10,46,56,28,21,17,2,14,32,27,134,-106,279.2,0,0,2019-20,"Regular Season"
