playerId,playerName,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,AdjustedPossessions
1626153,Delon Wright,0.77,77.0,0.19,168.0,0.59,74.0,4
1626156,DAngelo Russell,-1.16,427.0,-0.82,424.0,-0.33,351.0,4
1626157,Karl-Anthony Towns,0.24,156.0,-1.48,469.0,1.72,5.0,4
1626158,Richaun Holmes,0.88,68.0,0.22,156.0,0.67,60.0,4
1626159,Justise Winslow,0.62,91.0,0.72,50.0,-0.1,269.0,4
1626161,Willie Cauley-Stein,-0.2,300.0,0.19,166.0,-0.39,365.0,4
1626162,Kelly Oubre Jr.,-0.72,387.0,-0.84,426.0,0.12,178.0,4
1626163,Frank Kaminsky,-0.84,400.0,-0.36,365.0,-0.48,380.0,4
1626164,Devin Booker,0.18,168.0,-1.3,464.0,1.48,7.0,4
1626167,Myles Turner,-0.16,286.0,0.11,189.0,-0.27,336.0,4
1626168,Trey Lyles,-0.47,353.0,-0.71,411.0,0.24,146.0,4
1626169,Stanley Johnson,0.11,189.0,0.2,162.0,-0.1,270.0,4
1626171,Bobby Portis,-1.14,426.0,-0.48,381.0,-0.66,408.0,4
1626172,Kevon Looney,-1.0,414.0,-0.08,294.0,-0.92,444.0,4
1626174,Christian Wood,1.77,20.0,0.79,43.0,0.98,27.0,4
1626178,Rondae Hollis-Jefferson,0.46,114.0,0.23,150.0,0.23,150.0,4
1626179,Terry Rozier,-1.76,462.0,-0.74,416.0,-1.02,456.0,4
1626181,Norman Powell,-0.13,278.0,0.45,97.0,-0.58,398.0,4
1626188,Quinn Cook,0.34,138.0,-0.14,315.0,0.48,96.0,4
1626192,Pat Connaughton,0.61,93.0,-0.09,298.0,0.7,56.0,4
1626195,Willy Hernangomez,-0.62,372.0,-0.27,345.0,-0.34,353.0,4
1626196,Josh Richardson,0.6,96.0,0.43,102.0,0.17,164.0,4
1626203,Treveon Graham,-1.38,442.0,-0.12,304.0,-1.27,464.0,4
1626204,Larry Nance Jr.,-1.04,419.0,-0.69,409.0,-0.35,356.0,4
1626209,Mario Hezonja,-0.95,410.0,-0.15,318.0,-0.8,426.0,4
1626220,Royce ONeale,1.63,21.0,1.16,15.0,0.48,95.0,4
1626224,Cedi Osman,-0.32,333.0,-0.14,316.0,-0.18,305.0,4
1626246,Boban Marjanovic,0.5,108.0,-0.02,272.0,0.52,84.0,4
1626259,Malcolm Miller,0.68,88.0,0.41,106.0,0.27,136.0,4
1627732,Ben Simmons,0.9,65.0,0.2,163.0,0.7,55.0,4
1627733,Dragan Bender,0.2,164.0,0.01,250.0,0.19,154.0,4
1627734,Domantas Sabonis,2.17,11.0,1.62,4.0,0.55,77.0,4
1627736,Malik Beasley,-0.08,263.0,-0.17,324.0,0.09,182.0,4
1627737,Marquese Chriss,-1.2,430.0,-0.77,418.0,-0.44,373.0,4
1627739,Kris Dunn,0.41,121.0,1.32,10.0,-0.9,442.0,4
1627740,Henry Ellenson,0.32,141.0,0.28,136.0,0.04,200.0,4
1627741,Buddy Hield,-0.87,403.0,-0.9,434.0,0.03,203.0,4
1627742,Brandon Ingram,-0.49,358.0,-0.63,399.0,0.14,170.0,4
1627745,Damian Jones,-1.18,429.0,-1.06,448.0,-0.12,282.0,4
1627746,Skal Labissiere,0.55,100.0,0.19,167.0,0.36,116.0,4
1627747,Caris LeVert,0.21,162.0,-0.18,327.0,0.39,113.0,4
1627748,Thon Maker,-1.26,434.0,-0.98,441.0,-0.28,339.0,4
1627749,Dejounte Murray,-0.34,337.0,-0.66,404.0,0.32,128.0,4
1627750,Jamal Murray,0.76,79.0,0.33,120.0,0.42,104.0,4
1627751,Jakob Poeltl,1.59,24.0,0.37,112.0,1.22,17.0,4
1627752,Taurean Prince,0.57,97.0,0.01,256.0,0.57,75.0,4
1627756,Denzel Valentine,0.15,179.0,0.69,55.0,-0.55,394.0,4
1627759,Jaylen Brown,0.5,107.0,-0.45,373.0,0.95,33.0,4
1627761,DeAndre Bembry,-1.91,467.0,-0.46,376.0,-1.46,468.0,4
1627763,Malcolm Brogdon,0.56,99.0,0.05,230.0,0.51,87.0,4
1627767,Cheick Diallo,0.05,209.0,-0.26,340.0,0.31,131.0,4
1627774,Jake Layman,0.73,83.0,0.87,36.0,-0.14,291.0,4
1627775,Patrick McCaw,-1.02,417.0,0.03,241.0,-1.05,458.0,4
1627777,Georges Niang,-1.54,453.0,-0.64,401.0,-0.91,443.0,4
1627780,Gary Payton II,0.06,206.0,-0.12,306.0,0.18,157.0,4
1627783,Pascal Siakam,1.47,27.0,0.8,41.0,0.67,58.0,4
1627788,Furkan Korkmaz,1.24,33.0,0.95,28.0,0.29,134.0,4
1627789,Timothe Luwawu-Cabarrot,-0.41,347.0,0.61,66.0,-1.02,455.0,4
1627790,Ante Zizic,-0.19,295.0,-0.54,388.0,0.35,119.0,4
1627812,Yogi Ferrell,-0.67,378.0,0.16,176.0,-0.83,433.0,4
1627814,Damion Lee,0.51,105.0,0.27,141.0,0.24,145.0,4
1627820,Tyrone Wallace,0.22,158.0,0.43,101.0,-0.21,317.0,4
1627823,Juancho Hernangomez,0.43,118.0,0.54,83.0,-0.11,276.0,4
1627826,Ivica Zubac,0.4,125.0,0.62,63.0,-0.21,319.0,4
1627827,Dorian Finney-Smith,1.13,47.0,-0.09,301.0,1.23,16.0,4
1627832,Fred VanVleet,0.91,60.0,0.83,37.0,0.09,185.0,4
1627846,Abdel Nader,-0.71,385.0,0.11,192.0,-0.82,429.0,4
1627853,Ryan Arcidiacono,-0.17,292.0,0.34,117.0,-0.52,389.0,4
1627854,Bryn Forbes,-1.55,454.0,-1.06,446.0,-0.49,385.0,4
1627863,Danuel House Jr.,1.14,45.0,0.02,245.0,1.11,23.0,4
1627884,Derrick Jones Jr.,-0.22,308.0,-0.57,392.0,0.35,120.0,4
1627885,Shaquille Harrison,0.44,116.0,0.67,58.0,-0.22,323.0,4
1627936,Alex Caruso,2.19,10.0,1.8,2.0,0.39,114.0,4
1627982,Josh Gray,-0.22,307.0,0.07,221.0,-0.29,341.0,4
1628021,David Nwaba,1.21,37.0,1.26,12.0,-0.05,246.0,4
1628035,Alfonzo McKinnie,-0.06,255.0,-0.66,405.0,0.6,72.0,4
1628365,Markelle Fultz,0.1,191.0,0.2,164.0,-0.1,267.0,4
1628366,Lonzo Ball,-0.55,363.0,-0.16,321.0,-0.4,369.0,4
1628368,DeAaron Fox,-0.58,368.0,-1.1,450.0,0.52,86.0,4
1628369,Jayson Tatum,3.02,2.0,1.48,8.0,1.54,6.0,4
1628370,Malik Monk,-0.48,357.0,0.15,177.0,-0.63,403.0,4
1628371,Jonathan Isaac,1.02,55.0,1.08,21.0,-0.06,249.0,4
1628372,Dennis Smith Jr.,-1.65,459.0,-0.81,423.0,-0.84,434.0,4
1628373,Frank Ntilikina,-0.09,269.0,0.05,228.0,-0.15,294.0,4
1628374,Lauri Markkanen,-0.4,345.0,0.38,108.0,-0.78,423.0,4
1628378,Donovan Mitchell,0.36,134.0,-0.28,348.0,0.64,62.0,4
1628379,Luke Kennard,-0.18,293.0,-0.65,403.0,0.47,98.0,4
1628380,Zach Collins,0.4,126.0,0.26,145.0,0.15,168.0,4
1628381,John Collins,-0.47,355.0,0.39,107.0,-0.86,435.0,4
1628382,Justin Jackson,0.15,177.0,-0.31,354.0,0.46,100.0,4
1628383,Justin Patton,-0.06,254.0,-0.06,285.0,0.0,223.0,4
1628384,OG Anunoby,1.17,40.0,0.78,44.0,0.39,112.0,4
1628385,Harry Giles III,-0.22,309.0,0.01,253.0,-0.23,327.0,4
1628386,Jarrett Allen,0.55,101.0,-0.09,296.0,0.64,64.0,4
1628388,TJ Leaf,0.04,212.0,0.53,86.0,-0.48,382.0,4
1628389,Bam Adebayo,0.9,66.0,0.53,84.0,0.37,115.0,4
